,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2015-12-31,0.0,-0.0707,-0.0765,-0.0536,-0.0877,-0.0056,-0.0318,-0.0378,0.0,0.0,0.0,-0.0444,-0.0056,0.0,0.0,0.0,0.0063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56890000.0,5803000.0,0.0,0.0,51087000.0,0.0,51087000.0,0.53,0.52,97772578.0,0.43,0.0,0.0,0.0,56890000.0,56890000.0,51087000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210084000.0,24320000.0,0.0,0.0,185764000.0,0.0,185764000.0,1.87,1.86,97772578.0,1.93,0.0,0.0,0.0,210084000.0,210084000.0,185764000.0,16.117,16.12,0.44,0.0,0.0,0.0,0.0,0.0,0.8417,0.811,0.0,0.0,0.0,1576120000.0,1576120000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.118,0.0,1.0378,0.0,0.0,0.0,0.0,0.0,0.0,1.032,11.0,0.0,0.0,1579999500.0,1578109000.0,1579999500.0,1.972,0.0,0.0,0.0,0.0,0.0,0.0,AB,23.85,24.282000114285708,2331875985.3
2015-09-30,0.0,-0.0299,-0.0464,-0.0667,-0.0667,0.0922,-0.0069,-0.0451,0.0,0.0,0.0,0.0667,0.0922,0.0,0.0,0.0,0.0403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48387000.0,6301000.0,0.0,0.0,42086000.0,0.0,42086000.0,0.42,0.42,100712572.0,0.48,0.0,0.0,0.0,48387000.0,48387000.0,42086000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215629000.0,24413000.0,0.0,0.0,191216000.0,0.0,191216000.0,1.91,1.92,100712572.0,1.95,0.0,0.0,0.0,215629000.0,215629000.0,191216000.0,15.148,15.151,0.468,0.0,0.0,0.0,0.0,0.0,1.1201,1.143,0.0,0.0,0.0,1525846000.0,1525846000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.12,0.0,1.0095,0.0,0.0,0.0,0.0,0.0,0.0,1.021,12.0,0.0,0.0,1592942500.0,1591025000.0,1592942500.0,1.917,0.0,0.0,0.0,0.0,0.0,0.0,AB,26.6,26.824722194444448,2678954415.2000003
2015-06-30,0.0,0.1226,0.1253,0.0909,0.0909,0.2711,0.0505,0.0075,0.0,0.0,0.0,0.1538,0.2711,0.0,0.0,0.0,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54409000.0,6185000.0,0.0,0.0,48224000.0,0.0,48224000.0,0.48,0.48,100324540.0,0.45,0.0,0.0,0.0,54409000.0,54409000.0,48224000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217118000.0,23854000.0,0.0,0.0,193264000.0,0.0,193264000.0,1.94,1.95,100324540.0,1.92,0.0,0.0,0.0,217118000.0,217118000.0,193264000.0,16.069,16.075,0.393,0.0,0.0,0.0,0.0,0.0,0.8183,0.938,0.0,0.0,0.0,1612739000.0,1612739000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.121,0.121,0.0,0.9782,0.0,0.0,0.0,0.0,0.0,0.0,0.99,14.0,0.0,0.0,1595587000.0,1593599750.0,1595587000.0,1.884,0.0,0.0,0.0,0.0,0.0,0.0,AB,29.530001000000002,30.822222166666663,2962583766.5245404
2015-03-31,0.0,0.2476,0.2607,0.1842,0.1842,-0.0043,0.0543,0.0047,0.0,0.0,0.0,-0.05,-0.0043,0.0,0.0,0.0,0.0492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51616000.0,6031000.0,0.0,0.0,45585000.0,0.0,45585000.0,0.45,0.45,100756999.0,0.57,0.0,0.0,0.0,51616000.0,51616000.0,45585000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211176000.0,23282000.0,0.0,0.0,187894000.0,0.0,187894000.0,1.9,1.91,100756999.0,1.86,0.0,0.0,0.0,211176000.0,211176000.0,187894000.0,15.869,15.932,0.627,0.0,0.0,0.0,0.0,0.0,1.3861,1.267,0.0,0.0,0.0,1605293000.0,1605293000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.119,0.119,0.0,0.9614,0.0,0.0,0.0,0.0,0.0,0.0,0.979,15.0,0.0,0.0,1576187750.0,1574287750.0,1576187750.0,1.793,0.0,0.0,0.0,0.0,0.0,0.0,AB,30.870001000000002,28.438889,3110368659.886999
2014-12-31,0.0,-0.0279,-0.0374,-0.0968,-0.0656,0.3295,0.0614,0.0061,0.0,0.0,0.0,0.125,0.3295,0.0,0.0,0.0,0.0553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61217000.0,5896000.0,0.0,0.0,55321000.0,0.0,55321000.0,0.56,0.57,97160178.0,0.45,0.0,0.0,0.0,61217000.0,61217000.0,55321000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200931000.0,22463000.0,0.0,0.0,178468000.0,0.0,178468000.0,1.84,1.84,97160178.0,1.89,0.0,0.0,0.0,200931000.0,200931000.0,178468000.0,16.751,16.755,0.445,0.0,0.0,0.0,0.0,0.0,0.7817,0.804,0.0,0.0,0.0,1627892000.0,1627892000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.115,0.0,1.0137,0.0,0.0,0.0,0.0,0.0,0.0,1.027,12.0,0.0,0.0,1555522250.0,1553728500.0,1555522250.0,1.862,0.0,0.0,0.0,0.0,0.0,0.0,AB,25.83,25.809714257142865,2509647397.74
2014-09-30,0.0,0.4455,0.4949,0.4063,0.4063,0.0664,0.0779,0.1834,0.0,0.0,0.0,0.0976,0.0664,0.0,0.0,0.0,-0.0863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49876000.0,5742000.0,0.0,0.0,44134000.0,0.0,44134000.0,0.45,0.45,96811627.0,0.45,0.0,0.0,0.0,49876000.0,49876000.0,44134000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,202685000.0,22066000.0,0.0,0.0,180619000.0,0.0,180619000.0,1.89,1.88,96811627.0,1.84,0.0,0.0,0.0,202685000.0,202685000.0,180619000.0,15.864,15.87,0.446,0.0,0.0,0.0,0.0,0.0,0.978,1.0,0.0,0.0,0.0,1536424000.0,1536424000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.118,0.118,0.0,0.9423,0.0,0.0,0.0,0.0,0.0,0.0,0.974,12.0,0.0,0.0,1531962750.0,1530070500.0,1531962750.0,1.758,0.0,0.0,0.0,0.0,0.0,0.0,AB,26.01,26.791388972222222,2518070418.27
2014-06-30,0.0,0.0666,0.064,0.1,0.1,-0.2292,-0.0508,0.0411,0.0,0.0,0.0,0.0263,-0.2292,0.0,0.0,0.0,-0.0884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48467000.0,5613000.0,0.0,0.0,42854000.0,0.0,42854000.0,0.44,0.44,96237982.0,0.39,0.0,0.0,0.0,48467000.0,48467000.0,42854000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187313000.0,21305000.0,0.0,0.0,166008000.0,0.0,166008000.0,1.76,1.75,96237982.0,1.8,0.0,0.0,0.0,187313000.0,187313000.0,166008000.0,15.949,15.952,0.323,0.0,0.0,0.0,0.0,0.0,0.7244,0.886,0.0,0.0,0.0,1535142000.0,1535142000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.11,0.0,1.009,0.0,0.0,0.0,0.0,0.0,0.0,1.023,13.0,0.0,0.0,1504192750.0,1501169500.0,1504192750.0,1.741,0.0,0.0,0.0,0.0,0.0,0.0,AB,25.879998999999998,24.763714228571423,2490638877.9220176
2014-03-31,0.0,-0.0378,-0.0542,0.0,0.0,0.5043,-0.0583,0.0329,0.0,0.0,0.0,0.5,0.5043,0.0,0.0,0.0,-0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41371000.0,5212000.0,0.0,0.0,36159000.0,0.0,36159000.0,0.38,0.38,96028494.0,0.6,0.0,0.0,0.0,41371000.0,41371000.0,36159000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184286000.0,20856000.0,0.0,0.0,163430000.0,0.0,163430000.0,1.72,1.71,96028494.0,1.79,0.0,0.0,0.0,184286000.0,184286000.0,163430000.0,15.794,15.856,0.661,0.0,0.0,0.0,0.0,0.0,1.755,1.579,0.0,0.0,0.0,1522631000.0,1522631000.0,0.0,4079000.0,0.0,0.0,0.0,0.0,0.0,0.107,0.107,0.0,1.0814,0.0,0.0,0.0,0.0,0.0,0.0,1.041,13.0,0.0,0.0,1524735750.0,1521728000.0,1524735750.0,1.84,0.0,0.0,0.0,0.0,0.0,0.0,AB,24.969998999999998,24.383999914285713,2397831399.151506
2013-12-31,0.0,1.3416,1.1945,1.3846,1.3462,-0.141,-0.021,0.1225,0.0,0.0,0.0,0.1111,-0.141,0.0,0.0,0.0,-0.1246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62971000.0,5499000.0,0.0,0.0,57472000.0,0.0,57472000.0,0.62,0.61,92066984.0,0.4,0.0,0.0,0.0,62971000.0,62971000.0,57472000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185912000.0,20410000.0,0.0,0.0,165502000.0,0.0,165502000.0,1.72,1.71,92066984.0,1.59,0.0,0.0,0.0,185912000.0,185912000.0,165502000.0,16.65,16.658,0.353,0.0,0.0,0.0,0.0,0.0,0.5659,0.645,0.0,0.0,0.0,1533654000.0,1533654000.0,0.0,3026500.0,0.0,0.0,0.0,0.0,0.0,0.107,0.107,0.0,0.9393,0.0,0.0,0.0,0.0,0.0,0.0,0.924,11.0,0.0,0.0,1548297000.0,1544632250.0,1548297000.0,1.689,0.0,0.0,0.0,0.0,0.0,0.0,AB,21.34,21.786857200000004,1964709438.56
2013-09-30,0.0,3.0792,2.2757,2.3913,2.3913,0.8301,-0.1122,-0.1191,0.0,0.0,0.0,0.9524,0.8301,0.0,0.0,0.0,0.0074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34504000.0,4981000.0,0.0,0.0,29523000.0,0.0,29523000.0,0.32,0.32,105952081.0,0.41,0.0,0.0,0.0,34504000.0,34504000.0,29523000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149833000.0,15614000.0,0.0,0.0,134219000.0,0.0,134219000.0,1.36,1.36,105952081.0,1.55,0.0,0.0,0.0,149833000.0,149833000.0,134219000.0,13.405,13.453,0.382,0.0,0.0,0.0,0.0,0.0,1.371,1.281,0.0,0.0,0.0,1425344000.0,1425344000.0,0.0,2153500.0,0.0,0.0,0.0,0.0,0.0,0.087,0.086,0.0,1.198,0.0,0.0,0.0,0.0,0.0,0.0,1.14,14.0,0.0,0.0,1556506750.0,1551433250.0,1556506750.0,1.518,0.0,0.0,0.0,0.0,0.0,0.0,AB,19.860001,20.0874286,2104208434.612081
