,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2015-12-31,0.4091,0.4375,1.125,1.25,-0.7407,0.1233,0.0274,-0.0502,-0.0227,0.0,0.0,-0.756,0.0,0.1266,0.7162,0.0966,271000000.0,0.3029,54000000.0,217000000.0,0.0,89000000.0,90000000.0,127000000.0,0.0,23000000.0,6000000.0,104000000.0,0.0,17000000.0,0.0,17000000.0,0.27,63714709.0,0.1,0.8007,0.107,0.0849,0.063,0.3358,29000000.0,23000000.0,121000000.0,1189000000.0,0.14,231000000.0,958000000.0,0.0,354000000.0,500000000.0,458000000.0,0.0,92000000.0,43000000.0,366000000.0,0.0,49000000.0,0.0,49000000.0,0.8,61043071.0,0.4,0.8057,0.096,0.0774,0.041,0.5845,114000000.0,92000000.0,415000000.0,13.545,764.878,1.428,86.4949,25.1276,6.3859,0.1131,0.0,5.7647,0.37,0.0,0.3284,0.0,48734000000.0,52644000000.0,18012000000.0,35138500000.0,0.0,-0.0714,0.061,0.001,0.077,0.026,14.7959,11628.1203,5465.7906,0.0,0.066,0.0338,0.0,0.5,76.0,0.2977,0.0,50297250000.0,806500000.0,46103250000.0,11.385,19.478,0.0,-0.0414,IBKR,43.599998,42.92657168571429,2777961184.970582
2015-09-30,1.4874,2.5,6.3333,4.8333,1.9877,0.135,0.024,-0.0078,-0.0764,0.0,0.0,2.0251,0.0,0.1154,4.05,0.0939,359000000.0,1.0994,63000000.0,296000000.0,0.0,87000000.0,94000000.0,202000000.0,0.0,42000000.0,20000000.0,160000000.0,0.0,22000000.0,0.0,22000000.0,0.35,62458655.0,0.1,0.8245,0.131,0.117,0.061,2.0139,47000000.0,42000000.0,182000000.0,1126000000.0,0.0381,231000000.0,895000000.0,0.0,344000000.0,490000000.0,405000000.0,0.0,85000000.0,45000000.0,320000000.0,0.0,40000000.0,0.0,40000000.0,0.63,62458655.0,0.4,0.7948,0.095,0.0755,0.036,0.8677,107000000.0,85000000.0,360000000.0,13.465,756.116,11.576,92.5412,25.4248,6.8728,0.1224,0.0,33.0,0.286,0.0,0.2423,0.0,47226000000.0,51418000000.0,17498053000.0,33377079500.0,0.0,-0.0041,0.051,0.001,0.075,0.025,25.125,11722.7886,5446.7984,0.0,0.0644,0.0337,0.0,0.635,80.0,0.3055,0.0,49115750000.0,782250000.0,44766000000.0,15.642,18.028,0.0,-0.0279,IBKR,39.470001,39.39083330555556,2465243175.3086553
2015-06-30,0.2763,0.5,0.5333,0.4074,1.2,0.1246,-0.0428,-0.044,0.2562,0.0,0.0,1.14,0.0,0.0723,0.3793,0.0607,387000000.0,0.2524,59000000.0,328000000.0,0.0,89000000.0,88000000.0,240000000.0,0.0,42000000.0,19000000.0,198000000.0,0.0,23000000.0,0.0,23000000.0,0.38,59481778.0,0.1,0.8475,0.124,0.1085,0.059,0.2765,48000000.0,42000000.0,221000000.0,938000000.0,-0.2435,220000000.0,718000000.0,0.0,335000000.0,475000000.0,243000000.0,0.0,55000000.0,34000000.0,188000000.0,0.0,21000000.0,0.0,21000000.0,0.34,59481778.0,0.4,0.7655,0.082,0.0586,0.022,0.5256,77000000.0,55000000.0,209000000.0,13.012,759.207,1.799,89.6577,17.5012,6.8902,0.1181,0.0,5.2609,0.263,0.0,0.23,0.0,45159000000.0,49451000000.0,18190480000.0,31946763000.0,0.0,-0.1157,0.028,0.0,0.059,0.022,24.8571,13460.6397,7882.1322,0.0,0.0516,0.0294,0.0,1.176,124.0,0.3571,0.0,47866967000.0,759715000.0,43361551500.0,8.288,15.77,0.0,-0.0556,IBKR,41.560001,38.09888880555556,2472062753.161778
2015-03-31,-0.6113,-1.4167,-1.6842,-1.6286,0.1506,0.1107,-0.0329,-0.1244,0.2055,0.0,0.0,0.1439,0.0,0.0854,-1.5092,0.0697,172000000.0,-0.5155,55000000.0,117000000.0,0.0,89000000.0,228000000.0,-111000000.0,0.0,-15000000.0,-2000000.0,-96000000.0,0.0,-13000000.0,0.0,-13000000.0,-0.22,58473348.0,0.1,0.6802,-0.058,-0.0872,-0.076,-1.314,-10000000.0,-15000000.0,-109000000.0,860000000.0,-0.2921,213000000.0,647000000.0,0.0,329000000.0,470000000.0,177000000.0,0.0,41000000.0,28000000.0,136000000.0,0.0,13000000.0,0.0,13000000.0,0.23,58473348.0,0.4,0.7523,0.071,0.0477,0.015,0.507,61000000.0,41000000.0,149000000.0,12.792,740.406,-3.865,91.8709,16.9308,7.1818,0.1241,0.0,16.9231,-0.455,0.0,0.5174,0.0,43294000000.0,47676000000.0,16928966500.0,30242396500.0,0.0,0.0273,0.017,0.0,0.048,0.02,35.0769,13956.5814,7854.2907,0.0,0.0508,0.0284,0.0,1.739,159.0,0.3826,0.0,46687779750.0,756803500.0,42110676250.0,7.456,14.708,0.0,-0.0439,IBKR,34.02,33.07722219444444,1989263298.9600003
2014-12-31,-0.1765,1.9745,1.2112,1.0,0.413,0.1456,-0.0204,0.0105,0.2581,0.0,0.0,0.4209,0.0,-0.0311,0.9236,0.1057,208000000.0,-0.1671,54000000.0,154000000.0,0.0,79000000.0,80000000.0,74000000.0,0.0,16000000.0,8000000.0,58000000.0,0.0,8000000.0,0.0,8000000.0,0.12,58099679.0,0.1,0.7404,0.106,0.0769,0.038,1.7933,22000000.0,16000000.0,66000000.0,1043000000.0,-0.0307,212000000.0,831000000.0,0.0,322000000.0,325000000.0,506000000.0,0.0,92000000.0,47000000.0,414000000.0,0.0,45000000.0,0.0,45000000.0,0.79,56492381.0,0.4,0.7967,0.107,0.0882,0.043,0.3816,112000000.0,92000000.0,459000000.0,13.184,746.734,6.42,99.8629,21.8418,7.5744,0.1337,0.0,47.25,0.833,0.0,0.3798,0.0,43385000000.0,47918000000.0,16350164000.0,29717306500.0,0.0,-0.0132,0.06,0.001,0.088,0.025,9.2667,11337.7469,6375.7766,0.0,0.0638,0.0351,0.0,0.506,71.0,0.3087,0.0,45799858250.0,750564250.0,41032270250.0,7.045,18.463,0.0,-0.0456,IBKR,29.16,27.916571485714282,1694186639.64
2014-09-30,-0.5596,-0.5533,-0.8176,-0.8182,4.424,0.147,0.0225,0.0063,0.3738,0.0,0.0,4.8663,0.0,0.0561,-0.7963,0.1428,171000000.0,-0.4759,52000000.0,119000000.0,0.0,78000000.0,79000000.0,40000000.0,0.0,12000000.0,9000000.0,28000000.0,0.0,3000000.0,0.0,3000000.0,0.06,57099052.0,0.1,0.6959,0.099,0.0702,0.018,1.3977,17000000.0,12000000.0,31000000.0,1084718000.0,0.0106,220717000.0,864001000.0,0.0,324532000.0,393532000.0,470469000.0,0.0,81379000.0,40761000.0,389090000.0,0.0,40618000.0,0.0,40618000.0,0.74,57099052.0,0.4,0.7965,0.093,0.075,0.037,0.2651,100465000.0,81379000.0,429708000.0,13.15,728.702,4.186,102.0231,17.7019,7.7583,0.14,0.0,81.0,1.667,0.0,0.4561,0.0,41608206000.0,46422868000.0,15718202000.0,28002721000.0,0.0,-0.0165,0.055,0.001,0.075,0.027,7.5462,10293.374,6121.8526,0.0,0.069,0.0387,0.0,0.541,74.0,0.2992,0.0,44420213250.0,735880250.0,39653695250.0,5.035,18.997,0.0,-0.062,IBKR,24.950001,24.333611194444448,1424621404.499052
2014-06-30,0.1723,0.1538,0.4454,0.2857,0.5028,0.1454,0.062,-0.1447,0.3125,0.0,0.0,0.5454,0.0,-0.027,0.2992,0.1461,309000000.0,0.0882,52000000.0,257000000.0,0.0,83000000.0,83000000.0,174000000.0,0.0,28000000.0,13000000.0,146000000.0,0.0,15000000.0,0.0,15000000.0,0.27,56079813.0,0.1,0.8317,0.104,0.0906,0.049,0.1618,32000000.0,28000000.0,161000000.0,1239970000.0,0.1635,224733000.0,1015237000.0,0.0,320386000.0,388386000.0,626851000.0,0.0,96240000.0,42175000.0,530611000.0,0.0,54065000.0,0.0,54065000.0,1.01,56079813.0,0.4,0.8188,0.093,0.0776,0.044,0.072,114801000.0,96240000.0,584676000.0,13.594,716.042,0.892,99.4722,17.8251,7.3173,0.1389,0.0,3.6667,0.37,0.0,0.2686,0.0,40155499000.0,44734251000.0,14205319000.0,26470336500.0,0.0,-0.0909,0.076,0.001,0.078,0.032,2.0034,8625.2546,4746.5748,0.0,0.0873,0.0468,0.0,0.396,67.0,0.2584,0.0,42943847000.0,708814750.0,38320904750.0,1.592,22.111,0.0,-0.1759,IBKR,23.290001,23.02628574285714,1306098900.849813
2014-03-31,0.9229,1.6682,1.8977,1.5,-0.2398,0.1092,0.0514,-0.0683,0.2774,0.0,0.0,-0.2417,0.0,0.1035,1.6513,0.1508,355000000.0,0.643,54000000.0,301000000.0,0.0,82000000.0,83000000.0,218000000.0,0.0,36000000.0,17000000.0,182000000.0,0.0,19000000.0,0.0,19000000.0,0.35,54664225.0,0.1,0.8479,0.115,0.1014,0.054,-0.7437,41000000.0,36000000.0,201000000.0,1214926000.0,0.1652,237460000.0,977466000.0,0.0,322689000.0,390689000.0,586777000.0,0.0,92508000.0,43065000.0,494269000.0,0.0,49443000.0,0.0,49443000.0,0.95,54664225.0,0.4,0.8045,0.092,0.0761,0.041,0.0589,111539000.0,92508000.0,543712000.0,13.227,713.088,-4.829,112.2375,18.1369,8.4855,0.1574,0.0,-13.6316,0.286,0.0,0.231,0.0,38980376000.0,44124314000.0,13684794500.0,25666981000.0,0.0,0.0193,0.073,0.001,0.076,0.033,1.8185,8292.1013,4612.1785,0.0,0.0888,0.0473,0.0,0.421,62.0,0.2656,0.0,41801280250.0,674805250.0,37046168500.0,1.31,22.225,0.0,-0.2035,IBKR,21.67,21.94885717142857,1184573755.75
2013-12-31,-0.0083,0.1523,-0.6029,-0.6842,-0.4793,0.1407,0.068,-0.0792,0.351,0.0,-0.9091,-0.485,0.0,-0.1173,-0.6001,0.1064,249718000.0,0.0105,62717000.0,187001000.0,0.0,81532000.0,148532000.0,38469000.0,0.0,5379000.0,1761000.0,33090000.0,0.0,3618000.0,0.0,3618000.0,0.06,52547749.0,0.1,0.7488,0.042,0.0215,0.014,1.0513,10465000.0,5379000.0,36708000.0,1076000000.0,-0.0482,243000000.0,833000000.0,0.0,315000000.0,382000000.0,451000000.0,0.0,70000000.0,33000000.0,381000000.0,0.0,37000000.0,0.0,37000000.0,0.74,49742428.0,0.4,0.7742,0.083,0.0651,0.034,0.1143,89000000.0,70000000.0,418000000.0,13.459,720.691,4.996,109.2713,23.0884,8.1186,0.1516,0.0,73.9392,1.667,0.0,0.3265,0.0,37870700000.0,42399420000.0,12600189500.0,24593534500.0,0.0,-0.0187,0.058,0.001,0.065,0.03,3.7838,9171.3418,4912.3464,0.0,0.0854,0.0438,0.0,0.541,78.0,0.2928,0.0,40906260750.0,643426000.0,36087100500.0,2.473,21.631,0.0,-0.1214,IBKR,24.34,24.1679998,1279012210.66
2013-09-30,0.0517,-0.0137,0.317,0.2692,1.1455,0.0713,-0.0299,-0.1107,0.29,0.0,0.0,1.1305,0.0,-0.1243,0.1377,0.0522,326252000.0,0.024,56016000.0,270236000.0,0.0,73854000.0,73854000.0,196382000.0,0.0,26861000.0,10414000.0,169521000.0,0.0,16447000.0,0.0,16447000.0,0.33,49966050.0,0.1,0.8283,0.096,0.0823,0.05,0.1249,31336000.0,26861000.0,185968000.0,1073393000.0,-0.099,238832000.0,834561000.0,0.0,325834000.0,325834000.0,508727000.0,0.0,69289000.0,26795000.0,439438000.0,0.0,42494000.0,0.0,42494000.0,0.87,49966050.0,1.4,0.7775,0.082,0.0646,0.04,0.3449,88271000.0,69289000.0,481932000.0,12.861,726.034,0.815,115.8562,30.9914,9.0086,0.1596,0.0,2.724,0.303,0.0,0.2264,0.0,36277044000.0,40517403000.0,11754892500.0,13163463500.0,0.0,-0.0906,0.069,0.001,0.065,0.031,9.0891,8642.2944,4503.2935,0.0,0.0913,0.0815,0.0,1.609,87.0,0.3036,0.0,39820133750.0,616234500.0,34919314750.0,7.409,21.482,0.0,-0.0415,IBKR,18.77,17.662000114285714,937862758.5
2013-06-30,0.1259,0.2799,0.2998,0.2353,-0.9362,0.0825,-0.0324,-0.0981,0.2819,0.0,0.0,-0.9431,0.0,-0.0105,0.2343,0.048,283956000.0,0.0884,64727000.0,219229000.0,0.0,85303000.0,85303000.0,133926000.0,0.0,24268000.0,13890000.0,109658000.0,0.0,10378000.0,0.0,10378000.0,0.21,48929348.0,0.1,0.7721,0.101,0.0855,0.037,0.1139,28738000.0,24268000.0,120036000.0,1065740000.0,-0.153,244462000.0,821278000.0,0.0,336313000.0,336313000.0,484965000.0,0.0,69663000.0,31128000.0,415302000.0,0.0,38535000.0,0.0,38535000.0,0.8,48929348.0,1.4,0.7706,0.083,0.0654,0.036,0.0163,88621000.0,69663000.0,453837000.0,12.8,716.473,0.661,133.2999,28.9162,10.4137,0.1861,0.0,3.5265,0.476,0.0,0.3004,0.0,35056554000.0,40163984000.0,10934663000.0,12275823500.0,0.0,-0.116,0.063,0.001,0.065,0.031,0.8718,8096.0541,4207.6608,0.0,0.0975,0.0868,0.0,1.75,88.0,0.3156,0.0,39368618000.0,612987250.0,34315477750.0,0.355,21.781,0.0,-0.4827,IBKR,15.97,15.919705911764705,781401687.5600001
2013-03-31,-0.3459,-0.3192,-0.4084,-0.4815,-2.8737,0.0749,1.5551,-0.1205,0.2452,0.0,0.0,-2.5971,0.0,-0.1708,-0.4507,0.0422,216074000.0,-0.289,59540000.0,156534000.0,0.0,74311000.0,74311000.0,82223000.0,0.0,13492000.0,6935000.0,68731000.0,0.0,6557000.0,0.0,6557000.0,0.14,47499898.0,0.1,0.7244,0.085,0.0624,0.03,-0.984,18461000.0,13492000.0,75288000.0,1042672000.0,-0.1944,245906000.0,796766000.0,0.0,337220000.0,337220000.0,459546000.0,0.0,64356000.0,28215000.0,395190000.0,0.0,36141000.0,0.0,36141000.0,0.76,47499898.0,1.4,0.7642,0.08,0.0617,0.035,0.5313,83401000.0,64356000.0,431331000.0,12.58,739.877,-4.476,138.6319,24.9446,11.0204,0.1874,0.0,-31.8608,0.714,0.0,0.3439,0.0,35144104000.0,40544236000.0,10834264000.0,12234096500.0,0.0,0.0177,0.059,0.001,0.062,0.031,15.7849,8308.0841,4206.9265,0.0,0.0962,0.0852,0.0,1.842,83.0,0.3234,0.0,38730513250.0,610805500.0,33647267000.0,11.662,21.951,0.0,-0.029,IBKR,14.91,14.852727272727275,708223479.18
2012-12-31,-0.2176,-0.7771,-0.3276,-0.3448,0.6198,0.0919,2.2502,-0.1849,0.2695,0.0,10.0,0.627,0.0,0.0401,-0.3679,0.0418,247111000.0,-0.1976,58549000.0,188562000.0,0.0,92366000.0,92366000.0,96196000.0,0.0,4668000.0,-4444000.0,91528000.0,0.0,9112000.0,0.0,9112000.0,0.19,47494065.0,1.1,0.7631,0.039,0.0189,0.037,2.0627,9736000.0,4668000.0,100640000.0,1130520000.0,-0.1677,250990000.0,879530000.0,0.0,352530000.0,352530000.0,527000000.0,0.0,70682000.0,30014000.0,456318000.0,0.0,40668000.0,0.0,40668000.0,0.89,46814676.0,1.4,0.778,0.08,0.0625,0.036,0.6258,89951000.0,70682000.0,496986000.0,12.602,699.025,10.732,131.2996,29.0689,10.4193,0.1878,0.0,56.3811,5.789,0.0,0.3738,0.0,33199557000.0,38054912000.0,9581375000.0,20046355000.0,0.0,-0.0078,0.2,0.001,0.063,0.034,17.8387,7151.5024,3460.7558,0.0,0.118,0.0564,0.0,1.573,78.0,0.3118,0.0,38252526250.0,203187750.0,33035340500.0,15.112,24.149,0.0,-0.0248,IBKR,13.68,14.562647058823526,649718809.1999999
2012-09-30,-0.1532,-0.2788,-0.4448,-0.4583,-2.1923,0.0214,0.0507,-0.3625,0.2857,0.0,0.0,-2.2215,0.0,-0.0158,-0.2073,0.0592,318599000.0,-0.1736,61646000.0,256953000.0,0.0,84333000.0,84333000.0,172620000.0,0.0,27235000.0,14747000.0,145385000.0,0.0,12488000.0,0.0,12488000.0,0.26,47488459.0,0.1,0.8065,0.099,0.0855,0.039,-0.9795,31686000.0,27235000.0,157873000.0,1191367000.0,-0.0366,259398000.0,931969000.0,0.0,348970000.0,348970000.0,582999000.0,0.0,86957000.0,41849000.0,496042000.0,0.0,45108000.0,0.0,45108000.0,0.99,47488459.0,0.4,0.7823,0.089,0.073,0.038,0.4289,106229000.0,86957000.0,541150000.0,13.258,713.051,-6.572,137.068,34.9454,10.3384,0.1922,0.0,-24.6508,0.385,0.0,0.2647,0.0,33861696000.0,38711340000.0,9125685000.0,966839000.0,0.0,0.0138,-0.736,0.001,0.073,0.037,11.7247,279.3011,3145.3513,0.0,0.1306,1.2322,0.0,0.404,68.0,0.2929,0.0,37828554750.0,-61312000.0,32336542500.0,10.761,25.088,0.0,-0.0337,IBKR,14.02,13.969411764705884,665788195.18
2012-06-30,-0.1566,-0.1404,-0.1649,-0.2273,0.2661,0.0569,0.0725,0.0452,-0.0666,0.0,0.0,0.2668,0.0,0.0549,-0.2725,0.0853,260888000.0,-0.1214,66171000.0,194717000.0,0.0,86210000.0,86210000.0,108507000.0,0.0,18961000.0,10977000.0,89546000.0,0.0,7984000.0,0.0,7984000.0,0.17,46686269.0,0.1,0.7464,0.09,0.0727,0.031,2.1808,23518000.0,18961000.0,97530000.0,1258294000.0,0.0939,279832000.0,978462000.0,0.0,350326000.0,350326000.0,628136000.0,0.0,97486000.0,42372000.0,530650000.0,0.0,55114000.0,0.0,55114000.0,1.21,46686269.0,0.4,0.7776,0.093,0.0775,0.044,0.8572,116576000.0,97486000.0,585764000.0,13.228,693.645,12.186,154.8926,42.9142,11.709,0.2233,0.0,71.8297,0.588,0.0,0.3304,0.0,32383711000.0,37611565000.0,9925811000.0,940255500.0,0.0,-0.0079,-0.713,0.002,0.077,0.039,19.8661,264.6937,2779.9795,0.0,0.1268,1.3382,0.0,0.331,68.0,0.2784,0.0,38602295750.0,-77294500.0,32158898750.0,23.103,26.952,0.0,-0.0149,IBKR,14.72,14.371428571428574,687221879.6800001
2012-03-31,-0.2067,-0.4335,-0.3179,-0.3077,-0.468,0.0879,-2.8943,0.0364,-0.0374,0.0,0.0,-0.4812,0.0,0.1248,-0.3257,0.0792,303922000.0,-0.1739,64624000.0,239298000.0,0.0,89621000.0,89621000.0,149677000.0,0.0,19818000.0,8734000.0,129859000.0,0.0,11084000.0,0.0,11084000.0,0.27,45576925.0,0.1,0.7874,0.082,0.0652,0.036,-0.1945,25011000.0,19818000.0,140943000.0,1294346000.0,0.1991,279735000.0,1014611000.0,0.0,345838000.0,345838000.0,668773000.0,0.0,100582000.0,43891000.0,568191000.0,0.0,56691000.0,0.0,56691000.0,1.26,45576925.0,0.4,0.7839,0.092,0.0777,0.044,0.7408,119529000.0,100582000.0,624882000.0,-22.664,717.389,-1.297,164.2781,34.0391,-7.2485,0.229,0.0,-4.8656,0.37,0.0,0.2949,0.0,32696398000.0,38632288000.0,9838106500.0,854042500.0,0.0,0.096,-0.572,0.002,0.078,0.041,17.1871,207.2736,2721.5044,0.0,0.1316,1.5156,0.0,0.317,67.0,0.2672,0.0,38233411250.0,-99043000.0,31723034750.0,21.037,28.399,0.0,-0.016,IBKR,17.0,16.39285705714286,774807725.0
2011-12-31,0.9962,2.3622,1.4786,1.4265,-0.6553,0.0668,0.7902,-0.0746,0.0956,0.0,-0.9441,-0.6581,0.0,0.08,2.9525,0.0795,307958000.0,0.6533,66957000.0,241001000.0,0.0,88806000.0,88806000.0,152195000.0,0.0,20943000.0,7391000.0,131252000.0,0.0,13552000.0,0.0,13552000.0,0.29,45587343.0,0.1,0.7826,0.084,0.068,0.044,1.0173,26014000.0,20943000.0,144804000.0,1358312000.0,0.4731,281348000.0,1076964000.0,0.0,335896000.0,335896000.0,741068000.0,0.0,115747000.0,53889000.0,625321000.0,0.0,61858000.0,0.0,61858000.0,1.39,43924554.0,0.3,0.7929,0.099,0.0852,0.046,0.72,134447000.0,115747000.0,687179000.0,-10.08,666.948,6.872,167.8132,37.1922,-16.6488,0.2516,0.0,23.4032,0.345,0.0,0.2884,0.0,30404365000.0,36359026000.0,8075393000.0,9407114500.0,0.0,-0.0122,0.217,0.002,0.085,0.044,16.0294,4821.3685,2268.956,0.0,0.1682,0.1444,0.0,0.216,81.0,0.2473,0.0,37601072250.0,285507750.0,31062585000.0,22.265,30.924,0.0,-0.0137,IBKR,14.94,14.780588235294113,681074904.42
2011-09-30,0.2791,0.5581,1.0382,0.8462,0.25,0.1177,-0.1451,-0.0104,0.3398,0.0,0.0,0.2591,0.0,0.1378,0.3448,0.0618,385526000.0,0.2888,82080000.0,303446000.0,0.0,85689000.0,85689000.0,217757000.0,0.0,37764000.0,15270000.0,179993000.0,0.0,22494000.0,0.0,22494000.0,0.48,44832545.0,0.1,0.7871,0.109,0.098,0.058,0.6627,42033000.0,37764000.0,202487000.0,1236618000.0,0.3208,279924000.0,956694000.0,0.0,329315000.0,329315000.0,627379000.0,0.0,101033000.0,81044000.0,526346000.0,0.0,19989000.0,0.0,19989000.0,0.41,44832545.0,1.99,0.7736,0.097,0.0817,0.016,1.2786,119829000.0,101033000.0,546335000.0,12.618,739.443,5.699,227.7568,34.701,18.0507,0.308,0.0,11.4778,0.208,0.0,0.2223,0.0,33151121000.0,41806304000.0,6972373000.0,913871000.0,0.0,-0.0104,-0.187,0.001,0.082,0.04,79.764,301.6634,2356.817,0.0,0.1774,1.3532,0.0,4.854,61.0,0.2663,0.0,37364475250.0,-106922500.0,30586503500.0,35.267,27.583,0.0,-0.0083,IBKR,13.93,14.61083333333333,624517351.85
2011-06-30,0.5324,0.9786,1.4898,1.4444,-0.2336,0.1149,-0.1423,-0.287,1.032,0.0,0.0,-0.2313,0.0,0.04,1.0693,0.0291,296940000.0,0.3131,66074000.0,230866000.0,0.0,81722000.0,81722000.0,149144000.0,0.0,22057000.0,12496000.0,127087000.0,0.0,9561000.0,0.0,9561000.0,0.22,43018095.0,0.1,0.7775,0.089,0.0743,0.032,1.5125,26471000.0,22057000.0,136648000.0,1150230000.0,0.2659,259749000.0,890481000.0,0.0,318939000.0,318939000.0,571542000.0,0.0,87506000.0,78975000.0,484036000.0,0.0,8531000.0,0.0,8531000.0,0.19,43018095.0,1.89,0.7742,0.093,0.0761,0.007,1.3289,106516000.0,87506000.0,492567000.0,12.334,712.264,10.44,160.8325,33.0776,13.0395,0.2258,0.0,47.374,0.455,0.0,0.2752,0.0,30640255000.0,36136027000.0,7660545000.0,958561500.0,0.0,-0.0084,-0.092,0.0,0.076,0.039,180.8425,307.1768,3258.314,0.0,0.1501,1.2,0.0,9.947,77.0,0.2773,0.0,36584737500.0,-92544500.0,29713830000.0,35.533,26.738,0.0,-0.0092,IBKR,15.65,16.34194447222222,673233186.75
2011-03-31,1.1412,2.8371,3.1766,3.3333,-0.5156,0.0236,-0.146,-0.3779,0.9594,0.0,0.0,-0.4062,0.0,0.0488,2.4195,0.0246,367888000.0,0.7471,66237000.0,301651000.0,0.0,79679000.0,79679000.0,221972000.0,0.0,34983000.0,18732000.0,186989000.0,0.0,16251000.0,0.0,16251000.0,0.39,42231651.0,0.0,0.82,0.109,0.0951,0.044,-0.1085,39929000.0,34983000.0,203240000.0,1079426000.0,0.0639,269157000.0,810269000.0,0.0,315795000.0,315795000.0,494474000.0,0.0,76597000.0,73787000.0,417877000.0,0.0,2810000.0,0.0,2810000.0,0.06,42231651.0,1.79,0.7506,0.088,0.071,0.003,1.5413,95513000.0,76597000.0,420687000.0,11.964,711.661,-0.945,171.0682,27.8502,14.2986,0.2404,0.0,-2.2606,0.0,0.0,0.2166,0.0,30054599000.0,36102932000.0,7570953500.0,900494500.0,0.0,0.0862,-0.038,0.0,0.071,0.037,598.1662,329.0335,3389.9957,0.0,0.1426,1.1987,0.0,29.833,99.0,0.2926,0.0,36569348750.0,-74912250.0,28924185750.0,39.395,25.56,0.0,-0.0102,IBKR,15.89,15.747222250000002,671060934.39
2010-12-31,-0.0607,0.0583,-15.6039,-21.6667,8.1046,0.0712,-4.4448,-0.2069,1.0641,0.0,0.0,8.016,0.0,-0.0043,-0.1622,0.0246,186264000.0,-0.0706,65533000.0,120731000.0,0.0,82225000.0,82225000.0,38506000.0,0.0,6229000.0,34546000.0,32277000.0,0.0,-28317000.0,0.0,-28317000.0,-0.68,42230785.0,1.79,0.6482,0.061,0.0334,-0.152,4.92,11396000.0,6229000.0,3960000.0,922108000.0,-0.162,272608000.0,649500000.0,0.0,312085000.0,312085000.0,337415000.0,0.0,50731000.0,60281000.0,286684000.0,0.0,-9550000.0,0.0,-9550000.0,-0.23,41870926.0,1.79,0.7044,0.075,0.055,-0.01,1.8167,69433000.0,50731000.0,277134000.0,-48.051,674.864,21.7,195.7534,32.0671,-4.0739,0.2901,0.0,-32.4898,-2.632,0.0,0.4414,0.0,28500039000.0,35412638000.0,5720467500.0,790097500.0,0.0,-0.0039,0.168,0.0,0.055,0.032,-177.3135,345.1557,3050.7129,0.0,0.1612,1.1671,0.0,-7.783,193.0,0.3384,0.0,37574829250.0,-56866250.0,28751088000.0,40.01,22.023,0.0,-0.0107,IBKR,17.82,17.912857314285716,752552588.7
