,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,current_ratio_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,working_capital_q,tangible_asset_value_q,net_current_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,net_debt/ebitda_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,roic_t,return_on_sales_t,piotroski_f-score_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,return_on_tangible_assets_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2015-12-31,0.3606,0.8865,0.7502,0.7373,0.7373,0.3149,-0.0317,0.0658,-0.0835,-0.1233,0.0,-0.6,4.7698,0.0,-0.481,0.9087,-0.0426,857684000.0,0.0658,313189000.0,544495000.0,0.0,15285000.0,593975000.0,-49480000.0,52658000.0,-117650000.0,34591000.0,14713000.0,0.0,-152241000.0,0.0,-152241000.0,-0.62,-0.62,242146000.0,,0.15,0.6348,0.111,-0.0758,-0.178,0.434,95400000.0,-64992000.0,-137528000.0,3352252000.0,0.037,1302805000.0,2049447000.0,0.0,76843000.0,1129446000.0,920001000.0,213854000.0,670232000.0,159232000.0,72201000.0,0.0,511000000.0,0.0,511000000.0,2.06,2.06,242146000.0,,1.275,0.6114,0.453,0.2637,0.152,0.4018,1518391000.0,884086000.0,583201000.0,27.666,53.132,1.537,18.4292,2.1154,0.6661,0.3469,-1.2342,1.437,-3.3676,-0.242,0.0,0.0178,0.0,377034000.0,12865645000.0,-4202797000.0,15952378000.0,534013500.0,244305000.0,0.0,-0.2739,0.0103,41.4079,-0.1637,-0.8755,0.076,0.039,0.052,0.264,9.0,0.256,3.4538,24.3048,54.3246,0.0,6.2775,13.7216,0.0,0.619,8.0,0.0229,0.0,16656219500.0,6687347000.0,13071588000.0,5.563,13.844,4.1341,0.0431,-0.2368,0.0117,-0.1247,-0.6589,NE,10.55,12.369142857142856,2554640300.0
2015-09-30,0.364,1.0528,1.5619,1.6939,1.6939,0.3587,-0.064,-0.0216,-0.0524,-0.1307,0.0,-0.9128,3.1597,0.0,-0.3823,0.6827,-0.0483,896671000.0,0.0819,310850000.0,585821000.0,0.0,15196000.0,175848000.0,409973000.0,54687000.0,367596000.0,41789000.0,18624000.0,0.0,325807000.0,0.0,325807000.0,1.32,1.32,241969586.0,,0.375,0.6533,0.65,0.4709,0.363,0.4206,582935000.0,422283000.0,344431000.0,3299308000.0,0.0465,1394173000.0,1905135000.0,0.0,91010000.0,1477518000.0,427617000.0,201881000.0,174339000.0,120667000.0,72023000.0,15030000.0,53672000.0,0.0,53672000.0,0.32,0.32,241969586.0,,1.5,0.5774,0.308,0.114,0.016,0.315,1017300000.0,376220000.0,125695000.0,28.392,53.966,1.559,18.5508,0.6795,0.6534,0.3438,7.7218,1.035,1.4866,0.284,0.0,0.0169,0.0,31681000.0,13058018000.0,-4529368000.0,16478112000.0,570267500.0,237851500.0,0.0,-0.2214,0.0102,7.4181,-0.1196,-0.6675,0.008,0.004,0.0231,0.114,6.0,0.25,30.5957,22.9989,58.6779,0.0,5.7855,13.8713,0.0,4.688,19.0,0.0276,0.0,17022789500.0,6653722250.0,13176882250.0,4.295,13.635,1.8636,0.0045,-0.3671,0.0119,-0.1827,-0.9404,NE,10.91,11.994166666666665,2639888183.26
2015-06-30,0.1001,-0.1615,-0.322,-0.2967,-0.2967,-0.2409,-0.2228,-0.2063,-0.1954,-0.3927,0.0,0.0,2.839,0.0,-0.1719,0.1698,-0.0483,793555000.0,-0.0127,336859000.0,456696000.0,0.0,22424000.0,181547000.0,275149000.0,57465000.0,198436000.0,39405000.0,18817000.0,0.0,159031000.0,0.0,159031000.0,0.64,0.64,241963110.0,,0.375,0.5755,0.523,0.3225,0.2,0.4011,415024000.0,255901000.0,177848000.0,3231433000.0,0.09,1482638000.0,1748795000.0,0.0,100416000.0,1487518000.0,261277000.0,184945000.0,-25300000.0,119660000.0,73870000.0,35244000.0,-144960000.0,0.0,-144960000.0,-0.51,-0.51,241963110.0,,5.427,0.5412,0.259,0.0494,-0.045,0.1509,836154000.0,159645000.0,-71090000.0,27.404,54.573,1.316,19.997,1.0236,0.7297,0.3664,4.4532,1.059,2.5108,0.586,0.0,0.0283,0.0,56410000.0,13204716000.0,-4847014000.0,16841680000.0,715182500.0,293218000.0,0.0,-0.2028,0.0123,11.0617,-0.102,-0.5089,-0.021,-0.011,0.014,0.049,5.0,0.241,-10.4461,24.9033,61.0424,0.0,4.5183,11.0206,0.0,-10.641,53.0,0.0311,0.0,17393990000.0,6780795750.0,13399927000.0,2.015,13.355,0.8632,-0.0121,-0.6781,0.0127,-0.3177,-1.5177,NE,15.39,16.55444438888889,3723812262.9
2015-03-31,0.0989,-0.1848,-0.304,-0.2727,-0.2727,-0.2713,-0.1999,-0.1962,-0.1512,-0.322,0.0,0.0,25.3123,0.0,-0.0663,0.1422,-0.0479,804342000.0,0.0115,341907000.0,462435000.0,0.0,23938000.0,178076000.0,284359000.0,49044000.0,221850000.0,43447000.0,20047000.0,0.0,178403000.0,0.0,178403000.0,0.72,0.72,241954168.0,,0.375,0.5749,0.528,0.3368,0.222,0.3472,425032000.0,270894000.0,198450000.0,3241659000.0,0.02,1534413000.0,1707246000.0,0.0,105072000.0,1485913000.0,221333000.0,163831000.0,45088000.0,114520000.0,77956000.0,-58990000.0,-69432000.0,0.0,-69432000.0,-0.24,-0.24,241954168.0,,5.427,0.5267,0.303,0.0644,-0.021,-0.0012,980699000.0,208919000.0,8524000.0,27.069,54.382,1.154,20.0962,0.3397,0.7424,0.3695,5.5235,1.473,2.066,0.521,0.0,0.0298,0.0,276940000.0,13157973000.0,-5023212000.0,17352708000.0,735923500.0,285066000.0,0.0,-0.2423,0.0142,11.2466,-0.111,-0.5794,-0.009,-0.005,0.0118,0.064,5.0,0.226,-23.6345,27.7595,66.9635,0.0,4.4049,11.3716,0.0,-22.613,40.0,0.0324,0.0,18674193750.0,7317487000.0,14346223000.0,-0.016,13.398,1.2752,-0.0056,-1.0024,0.0138,-0.5074,-2.1313,NE,14.28,16.029444444444447,3455105519.04
2014-12-31,0.0565,-3.5686,-4.5021,-4.4706,-4.4706,-0.2788,-0.1807,-0.21,-0.1237,-0.4004,0.0,0.5,1.2905,0.0,-0.0739,-3.632,-0.0015,804740000.0,0.1098,404557000.0,400183000.0,0.0,29452000.0,942047000.0,-541864000.0,40685000.0,-613543000.0,-3974000.0,14535000.0,15030000.0,-609569000.0,0.0,-609569000.0,-2.36,-2.36,252909000.0,,0.375,0.4973,-0.504,-0.7119,-0.757,0.0802,-405691000.0,-572858000.0,-595034000.0,3232504000.0,0.2736,1566890000.0,1665614000.0,0.0,106771000.0,1479672000.0,185942000.0,155179000.0,115142000.0,106651000.0,74825000.0,-160502000.0,8491000.0,0.0,8491000.0,0.03,0.03,252909000.0,,5.427,0.5153,0.351,0.0836,0.003,-0.0912,1133868000.0,270321000.0,83316000.0,25.957,52.536,0.255,19.2521,0.2709,0.7417,0.3665,-14.0803,1.389,-0.6396,-0.159,0.0,0.0366,0.0,259888000.0,13286822000.0,-5071226000.0,17418658000.0,759082500.0,306301500.0,0.0,-0.8345,0.0111,-11.8329,-0.4043,-1.9465,0.001,0.001,0.0098,0.084,7.0,0.213,209.4227,29.9665,64.2598,0.0,4.2584,10.5533,0.0,180.9,33.0,0.033,0.0,19627024000.0,7819644500.0,15167854000.0,-1.165,12.781,1.742,0.0007,-1.1657,0.0144,-0.6413,-2.4004,NE,16.57,18.083999914285712,4190702130.0
2014-09-30,0.2625,-0.3931,-0.549,-0.5545,-0.5545,-0.3086,-0.1131,-0.0932,-0.1075,-0.2953,0.0,16.208,-2.8156,0.0,-0.2716,0.0183,0.0035,828796000.0,0.294,399315000.0,429481000.0,0.0,24602000.0,185848000.0,243633000.0,37751000.0,167957000.0,40782000.0,20471000.0,20214000.0,127175000.0,0.0,127175000.0,0.49,0.49,254260645.0,,4.302,0.5182,0.485,0.2482,0.153,-0.2107,401789000.0,205708000.0,147646000.0,3152853000.0,0.4019,1508631000.0,1644222000.0,0.0,109120000.0,710537000.0,933685000.0,145679000.0,920521000.0,128401000.0,75138000.0,-74020000.0,792120000.0,0.0,792120000.0,3.07,3.07,254260645.0,,5.302,0.5215,0.634,0.3382,0.251,-0.1844,1999546000.0,1066200000.0,867258000.0,29.019,54.866,-0.687,18.6308,0.2688,0.642,0.3396,5.4491,1.572,2.803,8.78,0.0,0.0297,0.0,375035000.0,13950197000.0,-4817433000.0,17962914000.0,737940000.0,292912000.0,0.0,-1.4898,0.0132,11.6198,-0.6408,-2.7085,0.096,0.05,0.0467,0.338,6.0,0.198,2.4352,31.004,70.6341,0.0,4.2725,10.7638,0.0,1.727,11.0,0.0346,0.0,20424318250.0,8259107750.0,15900637750.0,-2.286,12.4,7.3188,0.0609,-1.3014,0.0151,-0.7962,-2.6896,NE,22.219998999999998,26.147777861111113,5649671277.639355
2014-06-30,-0.1653,0.2817,0.328,0.3188,0.3188,0.186,0.0985,0.12,0.1398,0.0663,0.0,1.8846,0.5963,0.0,0.0086,-0.0735,0.0038,803781000.0,-0.21,388634000.0,415147000.0,0.0,27080000.0,179942000.0,235205000.0,36351000.0,268824000.0,34265000.0,22903000.0,-94234000.0,234559000.0,0.0,234559000.0,0.91,0.91,254232771.0,,0.375,0.5165,0.696,0.3797,0.292,-0.2153,559569000.0,305175000.0,257462000.0,2964570000.0,0.1894,1409641000.0,1554929000.0,0.0,118294000.0,625629000.0,929300000.0,131077000.0,1068373000.0,121471000.0,73169000.0,-94234000.0,946902000.0,0.0,946902000.0,3.68,3.68,254232771.0,,1.25,0.5245,0.729,0.4046,0.319,-0.1047,2160426000.0,1199450000.0,1020071000.0,34.525,66.828,-0.681,23.6553,0.5528,0.6852,0.354,8.3952,1.568,2.2426,0.412,0.0,0.0337,0.0,511262000.0,16989900000.0,-6074991000.0,21962495000.0,862259000.0,355214500.0,0.0,-1.3291,0.0168,10.4963,-0.8698,-2.7482,0.112,0.058,0.0382,0.405,6.0,0.181,2.2052,45.0574,109.5703,0.0,3.4381,8.3459,0.0,0.34,12.0,0.0399,0.0,20902143000.0,8441666750.0,16345421250.0,-1.221,11.661,9.1507,0.06,-1.1487,0.0168,-0.8091,-2.496,NE,29.335665000000002,27.885364657142855,7458087402.077716
2014-03-31,-0.0925,0.5696,0.7082,0.678,0.678,1.4971,0.1044,0.0822,0.1826,-0.012,0.0,1.8846,0.9322,0.0,0.0027,0.0835,0.0036,795187000.0,-0.181,374384000.0,420803000.0,0.0,25637000.0,171835000.0,248968000.0,40392000.0,291904000.0,35578000.0,16916000.0,0.0,256326000.0,0.0,256326000.0,0.99,0.99,254138833.0,,0.375,0.5292,0.727,0.4179,0.322,-0.0144,578201000.0,332296000.0,273242000.0,3178174000.0,0.3388,1541028000.0,1637146000.0,0.0,118064000.0,689191000.0,947955000.0,119391000.0,1012993000.0,124030000.0,66972000.0,0.0,888963000.0,0.0,888963000.0,3.46,3.46,254138833.0,,1.005,0.5151,0.646,0.3563,0.28,-0.1782,2051555000.0,1132384000.0,955935000.0,33.675,64.707,-0.045,22.5419,0.4515,0.6694,0.3484,8.2268,1.533,1.9733,0.379,0.0,0.0322,0.0,477021000.0,16444497000.0,-5790249000.0,21164029000.0,882443000.0,321633500.0,0.0,-1.0227,0.0164,9.7095,-0.6505,-2.1036,0.108,0.056,0.0403,0.356,5.0,0.199,2.2561,37.1633,100.7344,0.0,3.6016,9.8814,0.0,0.29,12.0,0.0371,0.0,20283917500.0,8199163500.0,15964467750.0,-2.228,12.506,9.4847,0.0581,-1.2823,0.0146,-0.8092,-2.798,NE,28.618881,27.169830199999996,7273169019.105872
2013-12-31,16.5689,0.4059,0.3644,0.36,0.36,0.201,0.1102,0.074,0.1989,0.2762,0.0,0.9231,-9.0725,0.0,0.2926,2.5192,0.0034,725089000.0,2.9084,346298000.0,378791000.0,0.0,31801000.0,172912000.0,205879000.0,31185000.0,191836000.0,17776000.0,14848000.0,0.0,174060000.0,0.0,174060000.0,0.68,0.68,253288000.0,,0.25,0.5224,0.634,0.3076,0.24,-0.3063,459987000.0,223021000.0,188908000.0,2538143000.0,0.1533,1230775000.0,1307368000.0,0.0,117997000.0,566831000.0,740537000.0,106300000.0,874814000.0,92117000.0,67709000.0,0.0,782697000.0,0.0,782697000.0,3.05,3.05,253288000.0,,0.76,0.5151,0.733,0.3865,0.308,-0.2853,1860536000.0,981114000.0,850406000.0,32.858,64.03,-0.877,21.9365,0.4519,0.6676,0.3426,7.1515,1.322,3.1062,0.368,0.0,0.0439,0.0,339020000.0,16217957000.0,-5776994000.0,20607835000.0,846371000.0,348680500.0,0.0,-1.4108,0.014,11.8303,-1.052,-3.219,0.097,0.05,0.0323,0.387,5.0,0.163,2.1749,49.9314,136.4817,0.0,2.9989,7.2793,0.0,0.249,15.0,0.0465,0.0,19669769750.0,8029629000.0,15575833000.0,-2.859,10.021,9.2297,0.0525,-1.4254,0.0172,-0.956,-2.7592,NE,32.753498,33.234015742857146,8296068001.424
2013-09-30,-0.1514,1.0472,1.4566,1.4444,1.4444,0.3034,0.0878,0.0594,0.1441,0.0939,0.0,0.9231,1.5158,0.0,0.2576,0.3371,0.003,640513000.0,-0.2755,300325000.0,340188000.0,0.0,33776000.0,100940000.0,239248000.0,23149000.0,315809000.0,33852000.0,18502000.0,0.0,281957000.0,0.0,281957000.0,1.1,1.1,253368874.0,,0.25,0.5311,0.878,0.5292,0.44,0.1501,562669000.0,338958000.0,300459000.0,2248927000.0,-0.325,972027000.0,1276900000.0,0.0,110797000.0,495499000.0,781401000.0,104095000.0,843318000.0,107104000.0,59723000.0,0.0,736214000.0,0.0,736214000.0,2.88,2.88,253368874.0,,0.64,0.5678,0.8,0.4213,0.327,-0.211,1798711000.0,947413000.0,795937000.0,32.003,62.081,0.38,20.9491,0.704,0.6546,0.3374,14.6424,1.397,1.8286,0.227,0.0,0.0527,0.0,390417000.0,15729331000.0,-5497512000.0,19874213000.0,828577000.0,308188000.0,0.0,-0.8135,0.0205,9.1163,-0.6548,-1.8748,0.093,0.049,0.0353,0.421,5.0,0.148,2.1894,51.6134,140.5102,0.0,2.7142,7.2973,0.0,0.222,15.0,0.0493,0.0,19029963000.0,7879774750.0,15173287250.0,-1.873,8.876,9.1014,0.0509,-1.2944,0.0181,-0.9277,-2.4508,NE,33.015736,33.7112888,8365159854.601263
2013-06-30,0.134,0.0497,0.1051,0.0952,0.0952,0.0188,0.1019,0.0376,0.1872,0.2034,0.0,0.0,-4.1749,0.0,0.0569,0.0383,0.0035,1017385000.0,0.1318,520021000.0,497364000.0,0.0,26850000.0,243504000.0,253860000.0,24665000.0,213444000.0,36824000.0,16706000.0,0.0,176620000.0,0.0,176620000.0,0.69,0.69,253273925.0,,0.13,0.4889,0.443,0.234,0.174,-0.4215,450698000.0,238109000.0,193326000.0,2492446000.0,-0.2176,1154865000.0,1337581000.0,0.0,103879000.0,616504000.0,721077000.0,106581000.0,667445000.0,98414000.0,56127000.0,0.0,569031000.0,0.0,569031000.0,2.23,2.23,253273925.0,,0.52,0.5367,0.641,0.3105,0.228,-0.3038,1596700000.0,774026000.0,625158000.0,30.826,61.065,-1.693,20.8324,0.6562,0.6758,0.3412,9.6537,1.237,2.5111,0.188,0.0,0.0264,0.0,257636000.0,15466086000.0,-5561560000.0,19489593000.0,764054500.0,311057500.0,0.0,-1.9668,0.01,11.3382,-0.8574,-4.1033,0.073,0.038,0.0335,0.311,4.0,0.168,2.6217,50.4448,122.2174,0.0,3.2621,8.0128,0.0,0.233,18.0,0.0417,0.0,18571199500.0,7760400000.0,14856056000.0,-2.99,9.841,7.2623,0.0404,-1.5076,0.0154,-0.9023,-2.7337,NE,32.849651,34.12278902941176,8319960043.650175
2013-03-31,0.3725,0.3905,0.2487,0.2553,0.2553,1.0129,0.0716,0.0464,0.09,0.2016,0.0,0.0,0.3588,0.0,0.1056,0.5997,0.0042,970975000.0,0.2172,507297000.0,463678000.0,0.0,25569000.0,233887000.0,229791000.0,27301000.0,184412000.0,34352000.0,17653000.0,0.0,150060000.0,0.0,150060000.0,0.59,0.59,253225668.0,,0.13,0.4775,0.43,0.218,0.155,-0.1745,417869000.0,211713000.0,167713000.0,2373984000.0,-0.1855,1095163000.0,1278821000.0,0.0,102433000.0,567109000.0,711712000.0,102568000.0,660175000.0,107946000.0,58278000.0,0.0,552229000.0,0.0,552229000.0,2.17,2.17,253225668.0,,0.39,0.5387,0.656,0.3213,0.233,-0.0814,1556443000.0,762743000.0,610507000.0,31.118,58.801,-0.669,19.1299,0.8472,0.6148,0.3253,7.7548,1.759,1.3498,0.22,0.0,0.0263,0.0,616380000.0,14889958000.0,-4798708000.0,18707438000.0,813297000.0,327475000.0,0.0,-1.8365,0.0105,11.0792,-0.3831,-1.8044,0.072,0.038,0.034,0.321,5.0,0.164,2.6866,49.1499,136.4929,0.0,2.919,7.2494,0.0,0.18,18.0,0.0431,0.0,18048277250.0,7683118000.0,14498538500.0,-0.763,9.375,7.4365,0.04,-1.1303,0.0157,-0.7064,-2.1128,NE,33.3479,32.28809045454546,8444544253.897201
2012-12-31,-1.0693,-0.0528,0.0045,0.0,0.0,0.6009,0.0824,0.0385,0.1381,0.2666,0.0,0.0,1.0749,0.0,0.3303,-0.638,0.0041,-379946000.0,-1.5059,-355616000.0,-24330000.0,0.0,24602000.0,-82832000.0,58502000.0,28980000.0,129653000.0,2076000.0,6862000.0,0.0,127577000.0,0.0,127577000.0,0.5,0.5,252435000.0,,0.13,0.064,-0.967,-0.4175,-0.336,-0.0724,367475000.0,158633000.0,134439000.0,2200699000.0,-0.1837,1047710000.0,1152989000.0,0.0,99990000.0,527425000.0,625564000.0,85763000.0,617527000.0,95183000.0,33793000.0,0.0,522344000.0,0.0,522344000.0,2.05,2.05,252435000.0,,0.26,0.5239,0.664,0.3196,0.237,-0.1309,1461911000.0,703290000.0,556137000.0,30.595,57.867,0.109,18.3587,1.1175,0.6001,0.3173,5.4739,1.432,3.5288,0.26,0.0,-0.0648,0.0,393876000.0,14607774000.0,-4814159000.0,18048608000.0,665418000.0,393076500.0,0.0,-0.9389,-0.0188,11.8438,1.1125,-2.0239,0.069,0.037,0.0309,0.32,6.0,0.154,2.6452,58.0741,123.3429,0.0,3.3072,5.5987,0.0,0.127,19.0,0.0454,0.0,17733759000.0,7587858000.0,14249849250.0,-1.141,8.718,8.2004,0.0389,-1.2085,0.0163,-0.7588,-2.2011,NE,30.437063000000002,30.407239735294123,7683379998.405001
2012-09-30,0.1218,0.0067,-0.1518,-0.1509,-0.1509,0.7482,0.1165,0.0405,0.2171,0.3165,0.0,0.0,0.4352,0.0,-0.0246,0.0938,0.0008,884032000.0,0.198,483163000.0,400869000.0,0.0,26858000.0,221945000.0,178924000.0,25635000.0,139936000.0,25162000.0,14906000.0,0.0,114774000.0,0.0,114774000.0,0.45,0.45,252604007.0,,0.13,0.4535,0.408,0.1873,0.13,-0.2109,360658000.0,165571000.0,129680000.0,3331690000.0,0.2871,1803089000.0,1528601000.0,0.0,93882000.0,799937000.0,728664000.0,67110000.0,645021000.0,123251000.0,19368000.0,0.0,521770000.0,0.0,521770000.0,2.05,2.05,252604007.0,,0.13,0.4588,0.43,0.2137,0.157,-0.205,1433096000.0,712131000.0,541138000.0,30.21,57.245,-0.738,18.3664,0.8649,0.608,0.3208,6.4588,1.549,3.4464,0.289,0.0,0.0304,0.0,462283000.0,14460406000.0,-4766592000.0,18039159000.0,696284500.0,309208000.0,0.0,-1.4713,0.0124,12.258,-0.6583,-2.9833,0.069,0.037,0.036,0.214,7.0,0.238,2.3242,32.6869,86.7019,0.0,4.785,10.7749,0.0,0.063,19.0,0.0282,0.0,17346793750.0,7508696750.0,13971695500.0,-2.704,13.189,10.6114,0.0393,-1.5633,0.0102,-0.569,-2.6295,NE,31.276224,32.911096676470585,7900499506.229568
2012-06-30,0.6627,1.8925,1.9551,2.0,2.0,1.9818,0.1285,0.0374,0.2619,0.3598,0.0,0.0,1.2059,0.0,0.1744,2.0931,0.0009,898923000.0,0.4314,460319000.0,438604000.0,0.0,25404000.0,194109000.0,244495000.0,20652000.0,206174000.0,46356000.0,18857000.0,0.0,159818000.0,0.0,159818000.0,0.63,0.63,252387216.0,,0.0,0.4879,0.457,0.2523,0.178,0.1502,410441000.0,226826000.0,178675000.0,3185560000.0,0.2932,1700497000.0,1485063000.0,0.0,94560000.0,771741000.0,713322000.0,53005000.0,658016000.0,115703000.0,4700000.0,0.0,542313000.0,0.0,542313000.0,2.13,2.13,252387216.0,,0.0,0.4662,0.44,0.2232,0.17,-0.2595,1403112000.0,711021000.0,547013000.0,29.71,55.613,0.535,17.609,1.0908,0.5927,0.3166,10.9832,1.595,2.7238,0.0,0.0,0.0283,0.0,480617000.0,14036016000.0,-4508119000.0,17397904000.0,601776000.0,290774500.0,0.0,-0.6897,0.0101,10.1574,-0.334,-1.6353,0.073,0.04,0.0365,0.223,7.0,0.234,1.924,31.8127,79.4647,0.0,5.2936,10.9554,0.0,0.0,18.0,0.0297,0.0,16816137500.0,7432875500.0,13594477250.0,-3.276,12.622,13.4142,0.042,-1.7923,0.0105,-0.5871,-2.7022,NE,28.435314,27.90759237142857,7176709736.545824
2012-03-31,0.3684,0.7128,1.2052,1.1364,1.2381,0.1596,0.1647,0.0435,0.403,0.657,0.0,0.0,0.4991,0.0,-0.0248,0.6652,-0.0007,797690000.0,0.378,459844000.0,337846000.0,0.0,23126000.0,194203000.0,143643000.0,10496000.0,141764000.0,21589000.0,-6832000.0,0.0,120175000.0,0.0,120175000.0,0.47,0.47,252170859.0,,0.0,0.4235,0.405,0.1909,0.151,-0.3313,323337000.0,152260000.0,113343000.0,2914634000.0,0.1451,1604379000.0,1310255000.0,0.0,90788000.0,762383000.0,547872000.0,47182000.0,515433000.0,78855000.0,-14066000.0,0.0,436578000.0,0.0,436578000.0,1.71,1.71,252170859.0,,0.0,0.4495,0.423,0.193,0.15,-0.555,1234210000.0,562615000.0,422512000.0,29.737,55.102,-1.048,17.6236,0.8282,0.5926,0.3198,14.5065,1.842,0.8373,0.0,0.0,0.029,0.0,573516000.0,13895201000.0,-4417161000.0,17449365000.0,592355000.0,365203500.0,0.0,-3.6261,0.011,13.0988,-0.4574,-2.1329,0.059,0.033,0.0279,0.193,4.0,0.221,1.7273,41.9867,92.5244,0.0,4.9204,7.9808,0.0,0.0,24.0,0.0311,0.0,16242305250.0,7363719000.0,13195032750.0,-6.415,11.558,11.9244,0.0345,-3.1452,0.0111,-0.8138,-3.5316,NE,32.753498,34.1001498,8259477725.914783
2011-12-31,0.2054,0.403,0.286,0.25,0.25,-0.1993,0.194,0.0411,0.4718,0.5156,0.0,0.0,-1.178,0.0,-0.1081,0.3905,-0.0068,751045000.0,0.1666,399763000.0,351282000.0,0.0,18494000.0,189680000.0,161602000.0,10327000.0,157147000.0,30144000.0,-7563000.0,0.0,127003000.0,0.0,127003000.0,0.5,0.5,251405000.0,,0.0,0.4677,0.451,0.223,0.169,-0.4893,338660000.0,167474000.0,119440000.0,2695832000.0,-0.0397,1476524000.0,1219308000.0,0.0,91377000.0,728815000.0,490493000.0,55727000.0,443523000.0,72625000.0,-7273000.0,0.0,370898000.0,0.0,370898000.0,1.46,1.46,251405000.0,,0.0,0.4523,0.43,0.1852,0.138,-0.6977,1157890000.0,499250000.0,363625000.0,29.461,53.679,-1.462,16.1968,0.9514,0.5498,0.3017,16.2171,1.281,2.2142,0.0,0.0,0.0246,0.0,232432000.0,13495159000.0,-4337695000.0,16500747000.0,487288500.0,405410000.0,0.0,-2.3067,0.0067,11.3175,-0.8637,-3.7892,0.051,0.029,0.0261,0.185,5.0,0.212,1.9958,59.0327,79.4985,0.0,5.5323,6.6496,0.0,0.0,23.0,0.0339,0.0,15375679500.0,7286745750.0,12703703750.0,-7.482,10.723,8.9589,0.03,-3.5411,0.0118,-0.9723,-3.9798,NE,26.416084,29.06417120588235,6641135598.02
2011-09-30,0.2894,0.489,0.5731,0.5588,0.5588,-0.1659,0.1767,0.0499,0.3997,0.2343,0.0,-1.0,-2.9571,0.0,0.0806,0.5097,-0.0136,737902000.0,0.2045,380571000.0,357331000.0,0.0,27536000.0,193749000.0,163582000.0,11530000.0,152931000.0,17614000.0,238000.0,0.0,135317000.0,0.0,135317000.0,0.53,0.53,252390953.0,,0.0,0.4843,0.448,0.2229,0.183,-0.4473,330674000.0,164461000.0,135555000.0,2588572000.0,-0.1659,1429132000.0,1159440000.0,0.0,93619000.0,714334000.0,445106000.0,49738000.0,401410000.0,58757000.0,-174000.0,0.0,342653000.0,0.0,342653000.0,1.36,1.35,252390953.0,,0.0,0.4479,0.422,0.1743,0.132,-0.6499,1093065000.0,451148000.0,342479000.0,29.033,51.315,-1.308,15.103,0.7806,0.5202,0.2943,14.2637,1.541,1.6721,0.0,0.0,0.0373,0.0,351594000.0,12951533000.0,-3978420000.0,15916534000.0,544095000.0,298998500.0,0.0,-2.4589,0.0142,10.9318,-0.754,-3.3473,0.047,0.028,0.0243,0.174,4.0,0.213,2.3646,45.1289,84.7663,0.0,4.7576,8.6575,0.0,0.0,24.0,0.0362,0.0,14482934250.0,7225866250.0,12155510750.0,-6.665,10.256,9.0705,0.0291,-3.0763,0.0135,-0.9629,-3.8829,NE,25.655594,28.201000388888886,6475239819.441082
