,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,weighted_average_shares_diluted_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,ticker,price,sma_50,market_cap
2015-12-31,-1.4741,5.3966,0.74,0.5185,0.5185,0.0357,0.3792,-0.0183,0.6404,0.0,0.0,0.0,-0.793,0.0,-1.5885,-1.854,0.3204,-39377000.0,-1.4741,0.0,-39377000.0,0.0,-40087000.0,-35243000.0,-4134000.0,0.0,30966000.0,11928000.0,0.0,-20954000.0,19038000.0,3030000.0,16008000.0,0.41,0.41,37809512.0,,0.12,1.0,-0.885,-0.7864,-0.407,4.0696,34866000.0,30966000.0,19038000.0,279465000.0,-0.0361,0.0,279465000.0,0.0,174188000.0,210299000.0,69166000.0,0.0,104266000.0,42194000.0,0.0,-20954000.0,62072000.0,9823000.0,52249000.0,1.36,1.34,37809512.0,0.48,1.0,0.427,0.3731,0.187,-0.2496,119256000.0,104266000.0,62072000.0,17.255,216.272,-4.238,31.5232,4.1292,1.8269,0.1447,0.0,-5.209,0.293,0.0071,1.018,0.0,8177153000.0,9212905000.0,0.0,0.0,0.0,0.9218,0.086,0.007,0.373,0.04,-0.8228,0.0,0.0,0.0,0.0,0.0,0.0,0.353,12.0,0.6233,0.0,7523144500.0,610995250.0,7006900500.0,-1.845,7.391,0.0,0.6224,BANC,14.62,14.650571428571428,552775065.4399999
2015-09-30,0.3275,0.9588,0.1121,-0.0645,-0.0645,2.3088,0.5991,0.0901,1.7282,0.0,0.0,0.0,2.5979,0.0,0.2716,0.9588,0.321,105542000.0,0.3275,0.0,105542000.0,0.0,72090000.0,81743000.0,23799000.0,0.0,23799000.0,9263000.0,0.0,0.0,14536000.0,3040000.0,11496000.0,0.29,0.29,37466750.0,,0.12,1.0,0.26,0.2255,0.109,0.9868,27426000.0,23799000.0,14536000.0,401903000.0,0.4726,0.0,401903000.0,0.0,282388000.0,323762000.0,78141000.0,0.0,78141000.0,24997000.0,0.0,0.0,53144000.0,7703000.0,45441000.0,1.19,1.17,37466750.0,0.48,1.0,0.23,0.1944,0.113,0.0028,92521000.0,78141000.0,53144000.0,17.176,192.092,2.78,29.1666,10.1146,1.6981,0.1506,0.0,9.1835,0.414,0.0082,0.683,0.0,7197062000.0,7910878000.0,0.0,0.0,0.0,-0.0135,0.079,0.007,0.194,0.062,-1.014,0.0,0.0,0.0,0.0,0.0,0.0,0.403,8.0,0.7026,0.0,6822374250.0,573722750.0,6440836000.0,0.03,10.727,0.0,-1.0245,BANC,12.27,12.390277777777778,459717022.5
2015-06-30,0.6753,2.2107,0.8196,0.2222,0.1852,1.025,0.4677,-0.1705,0.1237,0.0,0.0,0.0,1.2823,0.0,0.4686,2.2107,0.7395,115323000.0,0.6753,0.0,115323000.0,0.0,76461000.0,87920000.0,27403000.0,0.0,27403000.0,11479000.0,0.0,0.0,15924000.0,2843000.0,13081000.0,0.33,0.32,35610318.0,,0.12,1.0,0.27,0.2376,0.113,0.4772,31140000.0,27403000.0,15924000.0,375865000.0,0.5894,0.0,375865000.0,0.0,266989000.0,309373000.0,66492000.0,0.0,66492000.0,16637000.0,0.0,0.0,49855000.0,5573000.0,44282000.0,1.21,1.19,35610318.0,0.48,1.0,0.212,0.1769,0.118,-0.4475,79735000.0,66492000.0,49855000.0,17.801,179.285,1.545,17.2444,12.8892,0.9688,0.0954,0.0,0.3678,0.364,0.0083,0.663,0.0,6384386000.0,6539473000.0,0.0,0.0,0.0,10.438,0.084,0.008,0.177,0.065,-5.2462,0.0,0.0,0.0,0.0,0.0,0.0,0.397,13.0,0.7103,0.0,6022439750.0,524559500.0,5761132500.0,-4.724,10.555,0.0,-0.2759,BANC,13.75,13.524166666666666,489641872.5
2015-03-31,0.6738,22.5085,73.4472,31.0,30.0,0.7388,0.5128,-0.0821,0.1923,0.0,0.0,0.0,0.7464,0.0,0.3427,22.5085,0.7219,97977000.0,0.6738,0.0,97977000.0,0.0,65724000.0,75879000.0,22098000.0,0.0,22098000.0,9524000.0,0.0,0.0,12574000.0,910000.0,11664000.0,0.3,0.29,34918477.0,,0.12,1.0,0.264,0.2255,0.119,-0.701,25824000.0,22098000.0,12574000.0,329381000.0,0.5433,0.0,329381000.0,0.0,242591000.0,281757000.0,47624000.0,0.0,47624000.0,5594000.0,0.0,0.0,42030000.0,3640000.0,38390000.0,1.15,1.14,34918477.0,0.48,1.0,0.181,0.1446,0.117,-1.2696,59762000.0,47624000.0,42030000.0,14.725,173.033,-1.967,18.6912,7.6006,1.2694,0.107,0.0,-6.0004,0.4,0.0091,0.6708,0.0,6042056000.0,6429322000.0,0.0,0.0,0.0,-0.0187,0.081,0.007,0.145,0.063,-11.1898,0.0,0.0,0.0,0.0,0.0,0.0,0.417,19.0,0.7365,0.0,5545532250.0,475918500.0,5248292500.0,-11.976,9.433,0.0,-0.0265,BANC,12.31,11.492222222222221,429846451.87
2014-12-31,0.2575,-0.4853,3.1686,0.5882,0.5882,0.6988,0.6459,0.0067,1.1864,0.0,0.0,0.0,0.6943,0.0,0.364,-0.4619,0.539,83061000.0,0.2575,0.0,83061000.0,0.0,68113000.0,78220000.0,4841000.0,0.0,4841000.0,-5269000.0,0.0,0.0,10110000.0,910000.0,9200000.0,0.27,0.27,28635526.0,,0.12,1.0,0.098,0.0583,0.111,-1.076,8131000.0,4841000.0,10110000.0,289938000.0,0.5587,0.0,289938000.0,0.0,225816000.0,263472000.0,26466000.0,0.0,26466000.0,-3739000.0,0.0,0.0,30205000.0,3640000.0,26565000.0,0.91,0.9,28635526.0,0.48,1.0,0.129,0.0913,0.092,-2.1394,37379000.0,26466000.0,30205000.0,17.577,206.543,-3.121,25.373,8.0739,1.4436,0.1217,0.0,-9.399,0.444,0.0095,0.82,0.0,5914454000.0,6409824000.0,0.0,0.0,0.0,0.0336,0.062,0.006,0.091,0.061,-23.6219,0.0,0.0,0.0,0.0,0.0,0.0,0.527,21.0,0.7788,0.0,4988284250.0,428710000.0,4731612250.0,-21.662,10.125,0.0,-0.0115,BANC,11.47,11.212571428571431,328449483.22
2014-09-30,0.8464,2.3144,2.0904,1.5849,1.5849,-14.3088,0.2204,-0.0618,2.7356,0.0,0.0,0.0,-0.282,0.0,0.3122,2.3317,0.5742,79504000.0,0.8464,0.0,79504000.0,0.0,56691000.0,67354000.0,12150000.0,0.0,12150000.0,903000.0,0.0,0.0,11247000.0,910000.0,10337000.0,0.31,0.31,28362469.0,,0.12,1.0,0.184,0.1528,0.13,-0.8198,14640000.0,12150000.0,11247000.0,272928000.0,0.8534,0.0,272928000.0,0.0,207640000.0,242307000.0,30621000.0,0.0,31031000.0,7778000.0,0.0,0.0,23253000.0,3681000.0,19572000.0,0.74,0.74,28362469.0,0.48,1.0,0.151,0.1137,0.072,-3.0166,41096000.0,31031000.0,23253000.0,15.756,158.504,-2.298,14.1225,6.5222,0.8963,0.0883,0.0,-7.8032,0.387,0.0093,0.7131,0.0,4495576000.0,4711140000.0,0.0,0.0,0.0,-0.1919,0.051,0.005,0.114,0.066,-42.31,0.0,0.0,0.0,0.0,0.0,0.0,0.649,20.0,0.7608,0.0,4337810750.0,384098500.0,4145793750.0,-29.029,9.623,0.0,-0.0058,BANC,11.63,12.011944444444444,329855514.47
2014-06-30,0.5037,0.38,0.6477,-0.2286,-0.2286,-0.3781,0.7303,-0.0405,3.2987,0.0,0.0,0.0,-0.3786,0.0,0.5249,0.3513,0.7054,68839000.0,0.5037,0.0,68839000.0,0.0,52063000.0,60304000.0,8535000.0,0.0,8535000.0,436000.0,0.0,0.0,8099000.0,910000.0,7189000.0,0.27,0.27,20471122.0,,0.12,1.0,0.162,0.124,0.104,-2.8321,11167000.0,8535000.0,8099000.0,236484000.0,0.725,0.0,236484000.0,0.0,194151000.0,227137000.0,9347000.0,0.0,9637000.0,6165000.0,0.0,0.0,3472000.0,3717000.0,-245000.0,-0.1,-0.1,20471122.0,0.48,1.0,0.082,0.0408,-0.001,-3.4209,19460000.0,9637000.0,3472000.0,21.46,212.173,-9.524,26.6952,12.6056,1.2439,0.1246,0.0,-26.7709,0.444,0.0098,0.7563,0.0,4343413000.0,4631843000.0,0.0,0.0,0.0,0.013,-0.001,0.0,0.041,0.06,3072.2367,0.0,0.0,0.0,0.0,0.0,0.0,-4.8,45.0,0.821,0.0,4003603250.0,348023250.0,3940888000.0,-39.518,11.552,0.0,0.0748,BANC,10.9,10.812,223135229.8
2014-03-31,0.881,-0.3978,-1.2512,-1.2,-1.2,-75.0508,0.9652,0.0154,3.1461,0.0,0.0,0.0,-45.7507,0.0,0.8825,-0.4535,0.7015,58534000.0,0.881,0.0,58534000.0,0.0,48949000.0,57594000.0,940000.0,0.0,940000.0,191000.0,0.0,0.0,749000.0,910000.0,-161000.0,-0.01,-0.01,20279498.0,,0.12,1.0,0.059,0.0161,-0.003,-4.626,3441000.0,940000.0,749000.0,213424000.0,1.1321,0.0,213424000.0,0.0,176231000.0,206296000.0,7128000.0,0.0,7287000.0,7551000.0,0.0,0.0,-264000.0,2807000.0,-3071000.0,-0.02,-0.02,20279498.0,0.48,1.0,0.073,0.0341,-0.014,-3.5396,15632000.0,7287000.0,-264000.0,16.042,196.58,-13.352,26.9936,16.452,1.6827,0.1358,0.0,1664.1429,-12.0,0.0109,0.8362,0.0,3986553000.0,4200330000.0,0.0,0.0,0.0,0.0106,-0.01,-0.001,0.034,0.061,227.9039,0.0,0.0,0.0,0.0,0.0,0.0,-24.0,65.0,0.8257,0.0,3392672000.0,305315000.0,3478036000.0,-37.252,10.524,0.0,0.0794,BANC,12.27,12.761714285714286,248829440.45999998
2013-12-31,1.4192,6.7354,1.6302,1.5667,1.5667,-479.01,1.1561,0.0901,1.1176,0.0,0.0,0.0,-312.3998,0.0,0.9835,6.9774,0.5788,66051000.0,1.4192,0.0,66051000.0,0.0,49937000.0,57055000.0,8996000.0,0.0,9406000.0,6248000.0,0.0,0.0,3158000.0,951000.0,2207000.0,0.17,0.17,18606463.0,,0.12,1.0,0.179,0.1424,0.033,-4.4269,11848000.0,9406000.0,3158000.0,186009000.0,1.3948,0.0,186009000.0,0.0,153284000.0,178101000.0,7908000.0,0.0,7908000.0,7992000.0,0.0,0.0,-84000.0,2185000.0,-2269000.0,-0.15,-0.15,18606463.0,0.48,1.0,0.08,0.0425,-0.012,-2.6367,14842000.0,7908000.0,-84000.0,17.46,192.714,-15.715,17.8605,5.9183,1.0229,0.0916,0.0,-130.0616,0.706,0.0117,0.756,0.0,3585728000.0,3807930000.0,0.0,0.0,0.0,0.0187,-0.008,-0.001,0.043,0.062,191.9299,0.0,0.0,0.0,0.0,0.0,0.0,-3.2,-7.0,0.8241,0.0,2854523250.0,271058000.0,2983141250.0,-26.359,9.997,0.0,0.1262,BANC,13.41,12.910285714285713,249512668.83
2013-09-30,0.3093,-2.0962,-2.0288,-1.6709,-1.6709,0.8734,1.2269,0.025,-0.1066,0.0,0.0,0.0,-0.182,0.0,1.0277,-2.0723,0.5396,43060000.0,0.3093,0.0,43060000.0,0.0,43202000.0,52184000.0,-9124000.0,0.0,-9244000.0,-710000.0,0.0,0.0,-8534000.0,946000.0,-9480000.0,-0.53,-0.53,18017274.0,,0.12,1.0,-0.162,-0.2147,-0.22,-1.1808,-6996000.0,-9244000.0,-8534000.0,147261000.0,1.7147,0.0,147261000.0,0.0,128523000.0,149854000.0,-2593000.0,0.0,-3138000.0,3289000.0,0.0,0.0,-6427000.0,1551000.0,-7978000.0,-0.43,-0.43,18017274.0,0.48,1.0,0.016,-0.0213,-0.054,-1.3512,2400000.0,-3138000.0,-6427000.0,16.794,204.42,-2.822,5.9512,23.0895,0.3544,0.0288,0.0,0.5558,-0.226,0.0095,1.0033,0.0,3683096000.0,3374310000.0,0.0,0.0,0.0,8.6498,-0.034,-0.003,-0.021,0.059,18.6815,0.0,0.0,0.0,0.0,0.0,0.0,-1.116,27.0,0.8728,0.0,2332158750.0,237030000.0,2496811000.0,-11.044,8.173,0.0,0.3351,BANC,13.83,13.85114285714286,249178899.42
2013-06-30,4.2075,6.3689,5.1434,4.8889,4.8889,-55.4236,1.2734,0.4329,0.9007,0.0,0.0,0.0,-94.0974,0.0,3.1633,6.8753,0.0279,45779000.0,4.2075,0.0,45779000.0,0.0,34143000.0,39463000.0,6316000.0,0.0,6185000.0,1822000.0,0.0,0.0,4363000.0,0.0,4363000.0,0.35,0.35,12003984.0,,0.12,1.0,0.16,0.1351,0.095,-3.0891,7339000.0,6185000.0,4363000.0,137090000.0,3.5651,0.0,137090000.0,0.0,106627000.0,122050000.0,15040000.0,0.0,14539000.0,2889000.0,0.0,0.0,11650000.0,933000.0,10717000.0,0.89,0.89,12003984.0,0.48,1.0,0.136,0.1061,0.078,-1.3944,18658000.0,14539000.0,11650000.0,22.366,210.207,-11.781,10.5904,38.5151,0.4735,0.0501,0.0,-32.008,0.343,0.0046,0.7458,0.0,2523326000.0,2188118000.0,0.0,0.0,0.0,0.0126,0.051,0.005,0.106,0.069,-17.2985,0.0,0.0,0.0,0.0,0.0,0.0,0.539,12.0,0.7778,0.0,1902283750.0,209319750.0,1984650750.0,-15.924,11.42,0.0,0.0311,BANC,13.58,13.25735294117647,163014102.72
2013-03-31,2.5818,2.3213,28.8696,0.0,0.0,-1.5272,0.8937,0.0012,2.7588,0.0,0.0,0.0,-2.2488,0.0,2.6856,2.1502,0.0221,31119000.0,2.5818,0.0,31119000.0,0.0,26002000.0,29399000.0,1720000.0,0.0,1561000.0,632000.0,0.0,0.0,929000.0,288000.0,641000.0,0.05,0.05,11918556.0,,0.12,1.0,0.085,0.0502,0.021,-0.1861,2651000.0,1561000.0,929000.0,100102000.0,2.4012,0.0,100102000.0,0.0,80685000.0,92453000.0,7649000.0,0.0,7202000.0,654000.0,0.0,0.0,6548000.0,1247000.0,5301000.0,0.45,0.45,11918556.0,0.48,1.0,0.105,0.0719,0.053,-0.4817,10482000.0,7202000.0,6548000.0,15.799,171.069,-0.486,11.0778,10.3365,0.7012,0.0644,0.0,-5.4961,2.4,0.0059,0.8356,0.0,2038900000.0,2047735000.0,0.0,0.0,0.0,0.6441,0.028,0.003,0.072,0.061,-8.1439,0.0,0.0,0.0,0.0,0.0,0.0,1.067,26.0,0.806,0.0,1628548250.0,187772250.0,1629652250.0,-4.046,8.399,0.0,0.117,BANC,11.4,11.231515151515149,135871538.4
2012-12-31,6.0405,0.7764,0.4173,0.4828,0.4828,-1.0632,0.6843,0.0178,6.8468,0.0,0.0,0.0,-1.1156,0.0,3.77,0.7926,0.0052,27303000.0,6.0405,0.0,27303000.0,0.0,25176000.0,28808000.0,-1505000.0,0.0,-1640000.0,1545000.0,0.0,0.0,-3185000.0,317000.0,-3502000.0,-0.3,-0.3,11784939.0,,0.12,1.0,-0.022,-0.0601,-0.128,-0.0342,-594000.0,-1640000.0,-3185000.0,77671000.0,1.7096,0.0,77671000.0,0.0,61738000.0,71196000.0,6475000.0,0.0,6111000.0,115000.0,0.0,0.0,5996000.0,1359000.0,4637000.0,0.4,0.4,11784939.0,0.48,1.0,0.11,0.0787,0.06,-0.4866,8521000.0,6111000.0,5996000.0,16.017,141.722,-0.079,13.3166,9.2188,0.8314,0.0933,0.0,0.1708,-0.4,0.0074,0.9221,0.0,1670180000.0,1718472000.0,0.0,0.0,0.0,0.5602,0.025,0.003,0.079,0.056,-7.1091,0.0,0.0,0.0,0.0,0.0,0.0,1.2,23.0,0.7949,0.0,1377708250.0,186698250.0,1387659000.0,-3.207,6.591,0.0,0.1464,BANC,12.27,11.808823529411766,144601201.53
2012-09-30,2.7921,7.333,17.2115,18.75,18.75,-71.7755,0.7974,-0.0124,5.0009,0.0,0.0,0.0435,-171.755,0.0,2.8612,6.7993,0.0139,32889000.0,2.7921,0.0,32889000.0,0.0,21306000.0,24380000.0,8509000.0,0.0,8433000.0,-1110000.0,0.0,0.0,9543000.0,328000.0,9215000.0,0.79,0.79,11702653.0,,0.12,1.0,0.282,0.2564,0.28,-1.3079,9262000.0,8433000.0,9543000.0,54246000.0,0.515,0.0,54246000.0,0.0,41840000.0,53523000.0,723000.0,0.0,416000.0,-3151000.0,0.0,0.0,3567000.0,1438000.0,2129000.0,0.12,0.12,11702653.0,0.48,1.0,0.036,0.0077,0.039,-0.5307,1979000.0,416000.0,3567000.0,16.384,141.579,-3.676,10.2556,10.4301,0.6259,0.0719,0.0,-4.5161,0.152,0.0077,0.6478,0.0,1656852000.0,1654810000.0,0.0,0.0,0.0,0.0336,0.011,0.002,0.008,0.045,-10.7558,0.0,0.0,0.0,0.0,0.0,0.0,4.0,299.0,0.7713,0.0,1191731750.0,185632750.0,1216743750.0,-2.46,4.635,0.0,0.2573,BANC,12.51,12.212647058823526,146400189.03
2012-06-30,0.0731,-1.5253,-1.6798,-1.5625,-1.5625,3.3034,0.2639,-0.0514,1.2294,0.0,0.0,0.0909,1.876,0.0,0.7335,-1.4734,0.1974,8791000.0,0.0731,0.0,8791000.0,0.0,8201000.0,9866000.0,-1075000.0,0.0,-1152000.0,-413000.0,0.0,0.0,-739000.0,314000.0,-1053000.0,-0.09,-0.09,11678484.0,,0.12,1.0,-0.095,-0.131,-0.12,0.1728,-837000.0,-1152000.0,-739000.0,30030000.0,-0.1406,0.0,30030000.0,0.0,26052000.0,36725000.0,-6695000.0,0.0,-7005000.0,-1673000.0,0.0,0.0,-5332000.0,1248000.0,-6580000.0,-0.63,-0.63,11678484.0,0.475,1.0,-0.203,-0.2333,-0.219,0.4654,-6103000.0,-7005000.0,-5332000.0,15.609,95.485,0.13,5.727,7.606,0.3669,0.06,0.0,-2.4368,-1.333,0.0,0.9329,0.0,1115120000.0,1093176000.0,0.0,0.0,0.0,-0.408,-0.035,-0.006,-0.233,0.029,-2.9339,0.0,0.0,0.0,0.0,0.0,0.0,-0.754,-14.0,0.8675,0.0,996498500.0,185570000.0,1031555000.0,1.197,2.571,0.0,-0.276,BANC,11.86,11.561142857142855,138506820.23999998
2012-03-31,0.0967,-0.575,-1.0332,-1.0,-1.0,0.4231,0.2971,0.1318,-0.4146,0.0,0.0,0.0909,0.743,0.0,0.3625,-0.5389,0.1985,8688000.0,0.0967,0.0,8688000.0,0.0,7055000.0,8142000.0,546000.0,0.0,470000.0,93000.0,0.0,0.0,377000.0,400000.0,-23000.0,0.0,0.0,11660444.0,,0.12,1.0,0.079,0.0541,-0.003,0.5338,690000.0,470000.0,377000.0,29431000.0,0.0324,0.0,29431000.0,0.0,22582000.0,32780000.0,-3349000.0,0.0,-3660000.0,-616000.0,0.0,0.0,-3044000.0,934000.0,-3978000.0,-0.38,-0.38,11660444.0,0.465,1.0,-0.099,-0.1244,-0.135,0.3644,-2920000.0,-3660000.0,-3044000.0,15.78,92.885,0.398,3.0124,6.3319,0.1909,0.0324,0.0,-290.5652,-0.207,0.0,0.812,0.0,1083082000.0,1044375000.0,0.0,0.0,0.0,-0.306,-0.022,-0.004,-0.124,0.03,-3.9279,0.0,0.0,0.0,0.0,0.0,0.0,-1.224,-31.0,0.7673,0.0,936011250.0,180115000.0,973341500.0,0.92,2.524,0.0,-0.3137,BANC,11.92,11.920857142857141,138992492.48
2011-12-31,-0.6481,-5.0038,-6.1411,-3.9,-3.9,0.8539,0.1595,-0.509,-0.7333,0.0,0.0,0.2,1.8086,0.0,0.0305,-4.8094,1.7625,3878000.0,-0.6481,0.0,3878000.0,0.0,5278000.0,11135000.0,-7257000.0,0.0,-7335000.0,-1721000.0,0.0,0.0,-5614000.0,396000.0,-6010000.0,-0.58,-0.58,11723673.0,,0.12,1.0,-1.84,-1.8914,-1.55,2.0807,-7136000.0,-7335000.0,-5614000.0,28665000.0,0.0992,0.0,28665000.0,0.0,20705000.0,31376000.0,-2711000.0,0.0,-3024000.0,-296000.0,0.0,0.0,-2728000.0,534000.0,-3262000.0,-0.31,-0.31,11723673.0,0.455,1.0,-0.083,-0.1055,-0.114,0.3051,-2374000.0,-3024000.0,-2728000.0,15.737,85.216,0.688,1.706,3.7936,0.1084,0.02,0.0,-1.5754,2.875,0.0,1.361,0.0,999041000.0,974566000.0,0.0,0.0,0.0,-0.1478,-0.019,-0.004,-0.105,0.031,-4.1809,0.0,0.0,0.0,0.0,0.0,0.0,-1.468,-22.0,0.7223,0.0,891492500.0,168027000.0,911316750.0,0.746,2.445,0.0,-0.3586,BANC,10.25,11.238823529411766,120167648.25
2011-09-30,0.1102,-0.7448,-0.8181,-0.9394,-0.9394,-0.9324,0.0768,-0.2949,-0.7333,0.0,0.0,1.3,-1.0288,0.0,0.8259,-0.7305,1.7466,8673000.0,0.1102,0.0,8673000.0,0.0,5518000.0,7582000.0,1091000.0,0.0,1012000.0,368000.0,0.0,0.0,644000.0,138000.0,506000.0,0.04,0.04,11542752.0,,0.115,1.0,0.136,0.1167,0.058,-0.0287,1180000.0,1012000.0,644000.0,35806000.0,1.0028,0.0,35806000.0,0.0,20549000.0,29355000.0,6451000.0,0.0,6143000.0,1881000.0,0.0,0.0,4262000.0,345000.0,3917000.0,0.47,0.47,11542752.0,0.435,1.0,0.187,0.1716,0.109,0.0992,6701000.0,6143000.0,4262000.0,16.589,80.481,-0.022,1.7327,6.5062,0.1044,0.0215,0.0,1.1621,0.688,0.0,0.6362,0.0,928977000.0,873877000.0,0.0,0.0,0.0,-1.4235,0.025,0.004,0.172,0.041,2.3684,0.0,0.0,0.0,0.0,0.0,0.0,0.926,16.0,0.5739,0.0,867231250.0,155905500.0,876961750.0,0.308,3.102,0.0,-0.6172,BANC,11.33,11.52527777777778,130779380.16
2011-06-30,3.6678,1.6918,1.572,1.2462,1.2462,-1.4171,0.0009,-0.2846,-0.7,0.0,0.0,1.2,-1.6827,0.0,0.683,1.7373,1.3268,8192000.0,3.6678,0.0,8192000.0,0.0,4731000.0,5921000.0,2271000.0,0.0,2193000.0,644000.0,0.0,0.0,1549000.0,0.0,1549000.0,0.16,0.16,9753153.0,,0.11,1.0,0.286,0.2677,0.189,-0.2117,2346000.0,2193000.0,1549000.0,34945000.0,1.3179,0.0,34945000.0,0.0,18053000.0,25537000.0,9408000.0,0.0,9097000.0,2447000.0,0.0,0.0,6650000.0,458000.0,6192000.0,1.09,1.09,9753153.0,0.37,1.0,0.274,0.2603,0.177,0.3563,9580000.0,9097000.0,6650000.0,16.454,90.46,-0.178,3.0759,6.2584,0.1869,0.034,0.0,-0.7192,1.571,0.0,0.5775,0.0,882266000.0,851227000.0,0.0,0.0,0.0,0.5566,0.047,0.007,0.26,0.041,2.8089,0.0,0.0,0.0,0.0,0.0,0.0,0.339,19.0,0.5166,0.0,873213250.0,132750250.0,860395750.0,1.277,3.583,0.0,-0.2842,BANC,14.86,15.309444416666667,144931853.57999998
2011-03-31,0.4422,-0.1037,0.1088,-0.5333,-0.5333,-0.3088,-0.0761,-0.3991,-0.4545,0.0,0.0,1.2,-0.6073,0.0,0.6407,-0.1003,1.2922,7922000.0,0.4422,0.0,7922000.0,0.0,5178000.0,6738000.0,1184000.0,0.0,1106000.0,413000.0,0.0,0.0,693000.0,0.0,693000.0,0.07,0.07,9729066.0,,0.11,1.0,0.156,0.1396,0.087,0.3359,1236000.0,1106000.0,693000.0,28508000.0,0.5477,0.0,28508000.0,0.0,16133000.0,24451000.0,4057000.0,0.0,3734000.0,1090000.0,0.0,0.0,2644000.0,709000.0,1935000.0,0.28,0.28,9729066.0,0.31,1.0,0.146,0.131,0.068,0.5866,4157000.0,3734000.0,2644000.0,13.943,85.824,0.274,6.1671,2.9482,0.4423,0.0719,0.0,6.7763,0.5,0.0,0.6536,0.0,834983000.0,866300000.0,0.0,0.0,0.0,-0.4333,0.017,0.002,0.131,0.033,10.9447,0.0,0.0,0.0,0.0,0.0,0.0,1.107,46.0,0.5659,0.0,895753250.0,116734750.0,860202000.0,1.719,2.93,0.0,-0.2103,BANC,15.91,15.729722194444443,154789440.06
2010-12-31,2.9102,1.9935,2.3721,2.0,2.0,1.5396,-0.0361,0.3965,-0.4444,0.0,0.0,1.0,1.2992,0.0,0.8783,2.0781,-0.001,11019000.0,2.9102,0.0,11019000.0,0.0,5122000.0,9114000.0,1905000.0,0.0,1832000.0,456000.0,0.0,0.0,1376000.0,207000.0,1169000.0,0.2,0.2,4243884.0,,0.1,1.0,0.176,0.1663,0.106,0.2607,1939000.0,1832000.0,1376000.0,26078000.0,0.9746,0.0,26078000.0,0.0,14111000.0,21890000.0,4188000.0,0.0,3861000.0,1036000.0,0.0,0.0,2825000.0,960000.0,1865000.0,0.37,0.37,4243884.0,0.25,1.0,0.163,0.1481,0.072,0.7991,4251000.0,3861000.0,2825000.0,32.048,203.027,0.677,17.6725,13.9259,0.5514,0.087,0.0,4.3687,0.076,0.0,0.4648,0.0,861621000.0,877521000.0,0.0,0.0,0.0,-0.4374,0.017,0.002,0.148,0.03,12.4804,0.0,0.0,0.0,0.0,0.0,0.0,0.676,24.0,0.5411,0.0,921503250.0,107442750.0,877405250.0,4.91,6.145,0.0,-0.1047,BANC,13.27,12.265142857142857,56316340.68
