,gross_profit_growth_q,ebit_growth_q,net_income_growth_q,eps_growth_q,eps_diluted_growth_q,operating_cash_flow_growth_q,asset_growth_q,book_value_per_share_growth_q,debt_growth_q,trade_and_non-trade_receivables_growth_q,inventory_growth_q,dividends_per_basic_common_share_growth_q,free_cash_flow_growth_q,research_and_development_(r&d)_expenses_growth_q,"selling,_general_and_administrative_(sg&a)_expenses_growth_q",operating_income_growth_q,weighted_average_shares_growth_q,revenue_q,revenue_growth_q,cost_of_revenue_q,gross_profit_q,research_and_development_(r&d)_expenses_q,"selling,_general_and_administrative_(sg&a)_expenses_q",operating_expenses_q,operating_income_q,interest_expense_q,earnings_before_tax_q,income_tax_expense_q,net_income_to_non-controlling_interests_q,net_income_from_discontinued_operations_q,net_income_q,preferred_dividends_income_statement_impact_q,net_income_common_q,eps_q,eps_diluted_q,weighted_average_shares_q,dividends_per_common_share_q,gross_margin_q,ebitda_margin_q,ebit_margin_q,profit_margin_q,free_cash_flow_margin_q,ebitda_q,ebit_q,consolidated_income_q,revenue_t,revenue_growth_t,cost_of_revenue_t,gross_profit_t,research_and_development_(r&d)_expenses_t,"selling,_general_and_administrative_(sg&a)_expenses_t",operating_expenses_t,operating_income_t,interest_expense_t,earnings_before_tax_t,income_tax_expense_t,net_income_to_non-controlling_interests_t,net_income_from_discontinued_operations_t,net_income_t,preferred_dividends_income_statement_impact_t,net_income_common_t,eps_t,eps_diluted_t,weighted_average_shares_t,weighted_average_shares_diluted_t,dividends_per_common_share_t,gross_margin_t,ebitda_margin_t,ebit_margin_t,profit_margin_t,free_cash_flow_margin_t,ebitda_t,ebit_t,consolidated_income_t,book_value_per_share_q,tangible_book_value_per_share_q,fcf_per_share_q,interest_debt_per_share_q,cash_per_share_q,debt_to_equity_ratio_q,total_debt_to_total_assets_q,interest_coverage_q,income_quality_q,payout_ratio_q,intangible_assets_out_of_total_assets_q,"selling,_general_and_administrative_expense_of_revenue_q",research_and_development_expense_of_revenue_q,tangible_asset_value_q,invested_capital_q,average_receivables_q,average_payables_q,average_inventory_q,capex/operating_cf_q,share_based_compensation_of_revenue_q,capex/revenue_q,capex/deprecation_q,roe_t,roa_t,return_on_sales_t,asset_turnover_t,income_quality_t,average_days_of_payables_t,average_days_of_receivables_t,days_of_inventory_on_hand_t,account_receivables_turnover_t,account_payables_turnover_t,inventory_turnover_t,payout_ratio_t,ev/ebit_t,"selling,_general_and_administrative_expense_of_revenue_t",research_and_development_expense_of_revenue_t,invested_capital_average_t,average_equity_t,average_assets_t,fcf_per_share_t,sales_per_share_t,interest_coverage_t,capex/operating_cf_t,share_based_compensation_of_revenue_t,capex/revenue_t,capex/deprecation_t,ticker,price,sma_50,market_cap
2015-12-31,0.1538,1.2076,0.3363,0.2308,0.2653,0.8673,0.2469,0.2142,0.0577,0.2216,0.0,0.2,0.7179,0.0,0.0264,3.9946,0.1013,1196860000.0,0.2168,726756000.0,470104000.0,0.0,404779000.0,404779000.0,65325000.0,17114000.0,84815000.0,22268000.0,-12000.0,0.0,62547000.0,8793000.0,53754000.0,0.32,0.31,165042000.0,0.15,0.3928,0.102,0.0852,0.045,0.3157,122068000.0,101929000.0,62535000.0,4613791000.0,0.1476,2688118000.0,1925673000.0,0.0,1466824000.0,1466824000.0,458849000.0,55355000.0,489651000.0,38946000.0,6928000.0,0.0,450705000.0,31590000.0,419115000.0,2.54,2.49,165042000.0,,0.55,0.4174,0.136,0.1181,0.091,0.1862,629434000.0,545006000.0,457633000.0,16.504,99.769,2.289,6.0171,8.3895,0.3646,0.0575,5.9559,7.9328,0.469,0.0463,0.3382,0.0,16466006000.0,16074458000.0,4767819500.0,669209500.0,0.0,-0.1139,0.0051,-0.0406,-2.4116,0.163,0.026,0.118,0.284,2.4128,51.5051,414.8032,0.0,0.9677,6.8944,0.0,0.217,9.0,0.3179,0.0,15120415250.0,2569769500.0,16249279250.0,5.205,27.955,9.8457,-0.1506,0.0049,-0.033,-1.8033,AFSI,30.790001,30.879857057142864,5081643345.042
2015-09-30,0.0964,0.2098,0.1882,0.0718,0.1168,0.6233,0.2823,0.206,0.3289,0.2827,0.0,0.5,0.6808,0.0,0.158,-0.0558,0.0933,1216438000.0,0.1351,709604000.0,506834000.0,0.0,380996000.0,380996000.0,125838000.0,14688000.0,184001000.0,-10847000.0,1511000.0,0.0,194848000.0,8789000.0,186059000.0,1.12,1.1,165344560.0,0.15,0.4167,0.183,0.1633,0.153,0.2732,222668000.0,198689000.0,196359000.0,4411324000.0,0.1449,2537532000.0,1873792000.0,0.0,1452814000.0,1452814000.0,420978000.0,46387000.0,472533000.0,17617000.0,13553000.0,0.0,454916000.0,28148000.0,426768000.0,2.61,2.545,165344560.0,,0.525,0.4248,0.136,0.1176,0.097,0.1589,599536000.0,518920000.0,468469000.0,15.862,97.308,2.01,6.1105,7.0622,0.3852,0.0596,13.5273,2.0929,0.134,0.0509,0.3132,0.0,16089306000.0,15931937000.0,4693055000.0,731157000.0,0.0,-0.1467,0.0051,-0.047,-2.3822,0.178,0.028,0.118,0.287,1.9055,66.7189,436.3962,0.0,0.94,6.0333,0.0,0.201,10.0,0.3293,0.0,14359203250.0,2398079500.0,15394608500.0,4.24,26.68,11.1868,-0.1378,0.005,-0.0254,-1.3904,AFSI,31.49,30.22041666666665,5206700194.4
2015-06-30,0.0863,-0.5898,-0.5692,-0.6028,-0.594,-0.9933,0.2447,0.3212,0.2721,0.2595,0.0,0.25,-1.0987,0.0,0.1747,-0.118,0.0928,1098771000.0,0.0868,638475000.0,460296000.0,0.0,347308000.0,347308000.0,112988000.0,11472000.0,45456000.0,-8969000.0,1346000.0,0.0,54425000.0,8639000.0,45786000.0,0.28,0.27,164857256.0,0.125,0.4189,0.071,0.0518,0.042,-0.0209,77812000.0,56928000.0,55771000.0,4266520000.0,0.2157,2437280000.0,1829240000.0,0.0,1400823000.0,1400823000.0,428417000.0,43500000.0,440963000.0,20800000.0,9103000.0,0.0,420163000.0,22864000.0,397299000.0,2.535,2.43,164857256.0,,0.475,0.4287,0.131,0.1135,0.093,0.1328,556857000.0,484463000.0,429266000.0,14.982,92.284,-0.14,5.6267,6.6416,0.3756,0.0581,4.9623,0.0359,0.446,0.0472,0.3161,0.0,15213723000.0,15046415000.0,4642587500.0,826656500.0,0.0,-15.0055,0.005,-0.0224,-1.1805,0.177,0.027,0.114,0.295,1.6705,71.1488,442.7909,0.0,0.919,5.1612,0.0,0.187,10.0,0.3283,0.0,13510543750.0,2239700500.0,14461575500.0,3.436,25.88,11.1371,-0.1464,0.0049,-0.0228,-1.3421,AFSI,32.755001,30.649444416666668,5399899585.137256
2015-03-31,0.2625,0.5429,0.5493,0.4179,0.4646,-0.5286,0.2126,0.4232,-0.2794,0.1928,0.0,0.25,-0.5725,0.0,0.204,0.3949,0.0947,1112489000.0,0.1662,613283000.0,499206000.0,0.0,330133000.0,330133000.0,169073000.0,10255000.0,206877000.0,46812000.0,4083000.0,0.0,160065000.0,5369000.0,154696000.0,0.95,0.93,163835662.0,0.125,0.4487,0.213,0.1952,0.139,0.1545,236558000.0,217132000.0,164148000.0,4178728000.0,0.3274,2386038000.0,1792690000.0,0.0,1349163000.0,1349163000.0,443527000.0,44615000.0,521688000.0,47735000.0,3731000.0,0.0,473953000.0,16166000.0,457787000.0,2.96,2.825,163835662.0,,0.45,0.429,0.151,0.1355,0.11,0.1968,632545000.0,566303000.0,477684000.0,15.032,85.76,1.049,3.6193,7.4137,0.2408,0.04,21.1733,1.2527,0.132,0.0514,0.2968,0.0,14050518000.0,13428851000.0,4301044000.0,761149000.0,0.0,-0.113,0.0044,-0.0197,-1.1277,0.223,0.033,0.136,0.306,1.9848,67.4889,408.7145,0.0,0.9716,5.49,0.0,0.152,8.0,0.3229,0.0,12773621250.0,2049939500.0,13676827500.0,5.021,25.506,12.6931,-0.0947,0.0048,-0.0206,-1.2988,AFSI,28.495001000000002,27.819027888888893,4668497352.525662
2014-12-31,0.1777,-0.5721,-0.3785,-0.3953,-0.3951,-0.4199,0.2277,0.3991,-0.0807,0.2181,0.0,0.7857,-0.4262,0.0,0.6852,-0.8832,0.0104,983626000.0,0.2048,576170000.0,407456000.0,0.0,394377000.0,394377000.0,13079000.0,9972000.0,36199000.0,-9379000.0,6613000.0,0.0,45578000.0,5351000.0,40227000.0,0.26,0.245,149866000.0,0.125,0.4142,0.064,0.0469,0.041,0.2236,62498000.0,46171000.0,52191000.0,4020214000.0,0.4901,2331325000.0,1688889000.0,0.0,1293230000.0,1293230000.0,395659000.0,45857000.0,444047000.0,28367000.0,-416000.0,0.0,415680000.0,12738000.0,402942000.0,2.68,2.53,149866000.0,,0.425,0.4201,0.137,0.1219,0.1,0.2619,551316000.0,489904000.0,415264000.0,13.592,87.943,1.468,6.2649,7.2663,0.4609,0.0678,4.6301,5.6767,0.481,0.0482,0.4009,0.0,13179687000.0,13029610000.0,3908066000.0,670887000.0,0.0,-0.0368,0.0053,-0.0085,-0.5148,0.22,0.031,0.122,0.309,2.7943,62.407,389.7038,0.0,1.0287,5.9924,0.0,0.159,9.0,0.3217,0.0,12332046250.0,1829449000.0,13027636750.0,7.025,26.825,10.6833,-0.065,0.0048,-0.0182,-1.1911,AFSI,28.125,27.004142971428568,4214981250.0
2014-09-30,0.4551,0.7605,1.6888,1.6795,1.6622,1.6411,0.3355,0.4104,-0.1842,0.2502,0.0,-0.9521,1.3292,0.0,0.4469,0.4756,0.0158,1071634000.0,0.4715,609352000.0,462282000.0,0.0,329005000.0,329005000.0,133277000.0,11801000.0,152431000.0,-7664000.0,-2939000.0,0.0,160095000.0,3505000.0,156590000.0,1.045,0.985,151230992.0,0.1,0.4314,0.168,0.1533,0.146,0.1845,179989000.0,164232000.0,157156000.0,3852977000.0,0.7495,2225571000.0,1627406000.0,0.0,1132883000.0,1132883000.0,494523000.0,46487000.0,505141000.0,68374000.0,-7188000.0,0.0,436767000.0,9328000.0,427439000.0,2.85,2.69,151230992.0,,0.37,0.4224,0.159,0.1432,0.111,0.3156,613846000.0,551628000.0,429579000.0,13.153,82.627,1.307,5.0272,4.7526,0.3822,0.0575,13.9168,1.5319,0.096,0.0548,0.307,0.0,12495771000.0,12537299000.0,3700419500.0,560880500.0,0.0,-0.1759,0.0049,-0.0394,-2.678,0.254,0.035,0.143,0.311,3.0208,62.1405,389.5287,0.0,1.0412,6.8695,0.0,0.13,5.0,0.294,0.0,11750804500.0,1680445250.0,12385576250.0,8.042,25.477,11.8663,-0.0581,0.0045,-0.0195,-1.2057,AFSI,19.91,21.194444416666663,3011009050.72
2014-06-30,0.4856,0.3041,0.4885,0.4688,0.4301,-0.1435,0.4127,0.2765,0.0688,0.3674,0.0,0.5625,-0.1461,0.0,0.4016,0.724,0.0173,1010979000.0,0.5569,587233000.0,423746000.0,0.0,295648000.0,295648000.0,128098000.0,12587000.0,126181000.0,17966000.0,-4026000.0,0.0,108215000.0,1941000.0,106274000.0,0.705,0.665,150863532.0,0.1,0.4191,0.152,0.1373,0.105,0.2305,153500000.0,138768000.0,104189000.0,3509621000.0,0.7756,2026798000.0,1482823000.0,0.0,1031259000.0,1031259000.0,451564000.0,43806000.0,436876000.0,99918000.0,-4846000.0,0.0,336958000.0,7871000.0,329087000.0,2.195,2.075,150863532.0,,2.356,0.4225,0.154,0.137,0.094,0.3144,540297000.0,480682000.0,332112000.0,11.34,80.336,1.545,4.8335,4.9725,0.4262,0.0568,11.0247,2.3201,0.142,0.0552,0.2924,0.0,12119702000.0,12098725000.0,3557242000.0,681427500.0,0.0,-0.0549,0.0045,-0.0134,-0.9181,0.215,0.028,0.137,0.304,3.4706,85.4513,427.3717,0.0,0.9866,5.1504,0.0,1.073,7.0,0.2938,0.0,11026032500.0,1530257500.0,11555274000.0,7.314,23.264,10.973,-0.0339,0.0043,-0.011,-0.6504,AFSI,20.905001000000002,21.538571485714286,3153802287.323532
2014-03-31,0.7071,0.311,0.1904,0.1858,0.1759,1.0575,0.5212,0.3297,0.3586,0.4391,0.0,0.5625,1.1005,0.0,0.7988,0.5305,0.012,953975000.0,0.8932,558570000.0,395405000.0,0.0,274200000.0,274200000.0,121205000.0,11497000.0,129236000.0,27444000.0,-64000.0,0.0,101792000.0,1941000.0,99851000.0,0.67,0.635,149659230.0,0.1,0.4145,0.163,0.1475,0.105,0.4215,155329000.0,140733000.0,101728000.0,3147984000.0,0.7908,1803675000.0,1344309000.0,0.0,946542000.0,946542000.0,397767000.0,38827000.0,409494000.0,109354000.0,-820000.0,0.0,300140000.0,5930000.0,294210000.0,1.97,1.875,149659230.0,,2.32,0.427,0.161,0.1424,0.093,0.3632,506858000.0,448321000.0,299320000.0,10.562,76.987,2.687,5.498,4.5581,0.5205,0.0674,12.2408,4.1173,0.149,0.0567,0.2874,0.0,11521877000.0,11662551000.0,3324409000.0,648655000.0,0.0,-0.0219,0.0044,-0.0095,-0.6179,0.205,0.028,0.142,0.296,4.0225,86.9195,454.8484,0.0,0.9469,4.8531,0.0,1.178,6.0,0.3007,0.0,10136775000.0,1431898500.0,10618368750.0,7.639,21.034,11.5466,-0.034,0.0042,-0.0128,-0.6871,AFSI,18.805,18.26557157142857,2814341820.15
2013-12-31,4.2786,1.2618,0.1701,0.1467,0.1096,2.0626,0.5167,0.2442,0.449,0.3713,0.0,-0.4531,2.1657,0.0,8.0206,1.8269,0.0122,816389000.0,1.5444,470416000.0,345973000.0,0.0,234030000.0,234030000.0,111943000.0,10602000.0,97293000.0,30628000.0,-159000.0,0.0,66665000.0,1941000.0,64724000.0,0.43,0.405,148326000.0,0.07,0.4238,0.153,0.1322,0.079,0.4696,125028000.0,107895000.0,66506000.0,2697895000.0,0.6173,1517361000.0,1180534000.0,0.0,824779000.0,824779000.0,355755000.0,34691000.0,380245000.0,98019000.0,-1633000.0,0.0,282226000.0,3989000.0,278237000.0,1.87,1.78,148326000.0,,2.283,0.4376,0.173,0.1538,0.103,0.3457,468054000.0,414936000.0,280593000.0,9.715,71.557,2.585,6.886,6.2731,0.7088,0.0906,10.1769,6.0817,0.163,0.059,0.2867,0.0,10613733000.0,10704643000.0,3046740000.0,598069000.0,0.0,-0.0261,0.004,-0.0126,-0.5997,0.209,0.029,0.154,0.282,3.494,88.535,476.7403,0.0,0.8855,4.511,0.0,1.221,7.0,0.3057,0.0,9100301000.0,1330388000.0,9572141250.0,6.287,18.189,11.9609,-0.0407,0.0041,-0.0147,-0.7452,AFSI,16.344998999999998,18.777142542857142,2424388321.674
2013-09-30,0.2869,0.466,0.3472,0.322,0.3214,-0.4909,0.4631,0.276,0.3398,0.4574,0.0,0.6959,-0.5099,0.0,0.222,0.4857,0.0129,728278000.0,0.4493,410579000.0,317699000.0,0.0,227381000.0,227381000.0,90318000.0,9120000.0,84166000.0,23880000.0,-597000.0,0.0,60286000.0,2048000.0,58238000.0,0.39,0.37,148882593.0,2.086,0.4362,0.146,0.1281,0.08,0.1165,106440000.0,93286000.0,59689000.0,2202362000.0,0.394,1302258000.0,900104000.0,0.0,616693000.0,616693000.0,283411000.0,31294000.0,323451000.0,52577000.0,2320000.0,0.0,270874000.0,2048000.0,268826000.0,1.81,1.74,148882593.0,,2.341,0.4087,0.178,0.1611,0.122,0.3044,391484000.0,354745000.0,273194000.0,9.326,62.494,0.57,6.2596,4.0162,0.6712,0.0941,10.2287,1.5596,5.349,0.0601,0.3122,0.0,9304206000.0,9638211000.0,2772805000.0,400580000.0,0.0,-0.0656,0.0043,-0.0082,-0.4528,0.214,0.031,0.161,0.256,2.6302,77.1976,545.079,0.0,0.7943,5.4979,0.0,1.293,8.0,0.28,0.0,8202990000.0,1256167000.0,8611487500.0,4.502,14.793,11.3359,-0.052,0.0046,-0.0167,-1.0001,AFSI,19.504998999999998,18.812012828571426,2903954827.5824065
2013-06-30,0.3035,0.8006,0.7691,0.7582,0.7351,1.1158,0.4485,0.3021,-0.0224,0.4259,0.0,0.561,1.1595,0.0,0.3018,0.3085,0.0123,649342000.0,0.508,364110000.0,285232000.0,0.0,210931000.0,210931000.0,74301000.0,7608000.0,98799000.0,27402000.0,0.0,0.0,71397000.0,0.0,71397000.0,0.48,0.465,148293002.0,0.064,0.4393,0.185,0.1639,0.11,0.4203,120061000.0,106407000.0,71397000.0,1976594000.0,0.3624,1147325000.0,829269000.0,0.0,575385000.0,575385000.0,253884000.0,29392000.0,295702000.0,41884000.0,5580000.0,0.0,253818000.0,0.0,253818000.0,1.715,1.65,148293002.0,,1.485,0.4195,0.182,0.1645,0.128,0.3838,359108000.0,325094000.0,259398000.0,8.884,57.159,1.84,4.6009,4.1601,0.5179,0.0751,13.9862,4.0322,0.133,0.0665,0.3248,0.0,8476325000.0,8541695000.0,2556319000.0,437373500.0,0.0,-0.052,0.0041,-0.0231,-1.0965,0.216,0.032,0.164,0.252,3.1308,99.9399,554.9313,0.0,0.7732,4.5192,0.0,0.866,7.0,0.2911,0.0,7396105750.0,1177634750.0,7828221500.0,5.116,13.329,11.0606,-0.0454,0.0047,-0.0182,-1.0596,AFSI,16.227272,15.232085558823526,2406390879.1505437
2013-03-31,0.081,0.8717,1.146,1.1082,1.0849,1.2594,0.3174,0.2024,-0.098,0.2696,0.0,0.7297,1.2947,0.0,-0.0453,0.4501,0.0155,503886000.0,0.2165,272256000.0,231630000.0,0.0,152437000.0,152437000.0,79193000.0,7361000.0,99987000.0,16109000.0,-877000.0,0.0,83878000.0,0.0,83878000.0,0.565,0.54,147886710.0,0.064,0.4597,0.231,0.213,0.166,0.3799,116525000.0,107348000.0,83001000.0,1757854000.0,0.3097,995002000.0,762852000.0,0.0,526487000.0,526487000.0,236365000.0,28778000.0,249003000.0,26224000.0,5862000.0,0.0,222779000.0,0.0,222779000.0,1.508,1.453,147886710.0,,1.463,0.434,0.175,0.158,0.127,0.3482,306814000.0,277781000.0,228641000.0,7.943,50.617,1.294,4.0953,3.8848,0.5156,0.0754,14.5833,2.3821,0.113,0.0678,0.3025,0.0,7485536000.0,7516655000.0,2436512000.0,470313500.0,0.0,-0.042,0.0042,-0.0166,-0.9135,0.203,0.031,0.158,0.247,2.8855,113.7165,566.01,0.0,0.7215,3.7376,0.0,0.97,9.0,0.2995,0.0,6805494250.0,1098162750.0,7125371750.0,4.139,11.886,9.6525,-0.0478,0.0046,-0.0175,-1.0594,AFSI,15.75,15.659779454545452,2329215682.5
2012-12-31,0.7119,13.9701,0.4586,1.1429,1.0621,0.7897,0.2973,0.2746,0.1026,0.2649,0.0,2.4595,0.7103,0.0,-0.3759,13.0692,0.008,320856000.0,0.3796,255313000.0,65543000.0,0.0,25944000.0,25944000.0,39599000.0,7205000.0,40499000.0,-14814000.0,3794000.0,0.0,55313000.0,0.0,55313000.0,0.375,0.365,146538000.0,0.128,0.2043,0.151,0.1487,0.172,0.3774,48458000.0,47704000.0,59107000.0,1668174000.0,0.3858,922675000.0,745499000.0,0.0,533714000.0,533714000.0,211785000.0,28508000.0,199279000.0,21292000.0,6873000.0,0.0,177987000.0,0.0,177987000.0,1.21,1.17,146538000.0,,1.436,0.4469,0.154,0.1365,0.107,0.3022,256389000.0,227787000.0,184860000.0,7.808,47.112,0.826,4.8101,3.3652,0.6161,0.0948,6.621,2.3237,0.341,0.0717,0.0809,0.0,6903672000.0,7115399000.0,2300609000.0,446985500.0,0.0,-0.0578,0.0069,-0.0232,-9.8581,0.17,0.027,0.137,0.251,2.9859,118.5321,562.2464,0.0,0.7251,3.7321,0.0,1.187,9.0,0.3199,0.0,6439738750.0,1044990500.0,6641718000.0,3.44,11.384,7.9903,-0.0515,0.0043,-0.0164,-0.9576,AFSI,13.040909,12.773930529411766,1910988723.0419998
2012-09-30,0.3128,0.1485,0.1632,0.0806,0.0606,2.1069,0.2485,0.2652,0.0135,0.1937,0.0,32.2432,22.7902,0.0,0.3551,0.1982,0.0135,502510000.0,0.3458,255646000.0,246864000.0,0.0,186073000.0,186073000.0,60791000.0,7218000.0,56417000.0,13187000.0,2663000.0,0.0,43230000.0,0.0,43230000.0,0.295,0.28,146985824.0,1.23,0.4913,0.147,0.1266,0.086,0.3446,74064000.0,63635000.0,45893000.0,1579882000.0,0.26,861639000.0,718243000.0,0.0,549338000.0,549338000.0,168905000.0,25348000.0,151057000.0,-9540000.0,2898000.0,0.0,160597000.0,0.0,160597000.0,1.01,0.984,146985824.0,,1.345,0.4546,0.116,0.1117,0.102,0.2872,183623000.0,176405000.0,163495000.0,7.309,43.194,1.178,4.7323,4.3122,0.6475,0.1028,8.8162,4.1273,4.169,0.0616,0.3703,0.0,6348921000.0,6410674000.0,2073575000.0,324049000.0,0.0,-0.0294,0.0044,-0.0105,-0.5038,0.164,0.026,0.112,0.254,2.9561,77.4782,521.3594,0.0,0.7619,4.8754,0.0,1.332,11.0,0.3477,0.0,6049901500.0,981601000.0,6215719750.0,3.087,10.749,6.9593,-0.0442,0.004,-0.0133,-2.9047,AFSI,11.645453999999999,11.967598411764707,1711716652.0440958
2012-06-30,0.4394,-0.0436,-0.1954,-0.2133,-0.2,0.2208,0.2207,0.1932,0.1269,0.119,0.0,0.2424,-0.0935,0.0,0.4983,0.2944,0.015,430602000.0,0.3372,211787000.0,218815000.0,0.0,162033000.0,162033000.0,56782000.0,6994000.0,52100000.0,11742000.0,282000.0,0.0,40358000.0,0.0,40358000.0,0.273,0.268,146494869.0,0.041,0.5082,0.157,0.1372,0.094,0.2935,67767000.0,59094000.0,40640000.0,1450773000.0,0.2614,791345000.0,659428000.0,0.0,500580000.0,500580000.0,158848000.0,22076000.0,146103000.0,-8430000.0,3251000.0,0.0,154533000.0,0.0,154533000.0,0.988,0.968,146494869.0,,0.153,0.4545,0.119,0.1159,0.107,0.1984,173355000.0,168179000.0,157784000.0,6.823,40.293,0.863,4.7643,2.8767,0.6983,0.1113,8.4492,3.3715,0.15,0.0584,0.3763,0.0,5902730000.0,6179249000.0,1995480500.0,327644500.0,0.0,-0.0712,0.0036,-0.0225,-1.1169,0.168,0.026,0.116,0.247,2.2891,83.9153,530.227,0.0,0.727,4.4279,0.0,0.155,13.0,0.345,0.0,5814655750.0,922502500.0,5879048500.0,1.965,9.903,7.6182,-0.1862,0.0038,-0.0454,-12.7243,AFSI,12.276859,12.06646988571429,1798496850.936471
2012-03-31,0.4565,-0.0107,-0.1349,-0.1465,-0.1536,0.5983,0.3788,0.2415,0.0057,0.3333,0.0,0.1212,1.0892,0.0,0.5741,0.1952,0.0095,414206000.0,0.5017,199929000.0,214277000.0,0.0,159664000.0,159664000.0,54613000.0,7091000.0,50263000.0,11177000.0,134000.0,0.0,39086000.0,0.0,39086000.0,0.268,0.259,145630547.0,0.037,0.5173,0.16,0.1385,0.094,0.2014,66100000.0,57354000.0,39220000.0,1342192000.0,0.249,749566000.0,592626000.0,0.0,446691000.0,446691000.0,145935000.0,19416000.0,151454000.0,-12883000.0,12725000.0,0.0,164337000.0,0.0,164337000.0,1.063,1.034,145630547.0,,0.145,0.4415,0.144,0.1273,0.122,0.2242,193066000.0,170870000.0,177062000.0,6.606,39.325,0.573,4.6106,2.3668,0.6979,0.1102,8.0883,2.2625,0.138,0.0605,0.3855,0.0,5726876000.0,6053633000.0,1878741500.0,359724500.0,0.0,-0.0567,0.0028,-0.0121,-0.5733,0.187,0.029,0.127,0.24,2.0028,106.8639,583.8887,0.0,0.7144,3.7312,0.0,0.136,11.0,0.3328,0.0,5586946250.0,878969750.0,5595713000.0,2.066,9.216,8.8005,-0.0857,0.0039,-0.021,-1.2711,AFSI,11.107438,11.045926685714285,1617582271.708586
2011-12-31,-0.7321,-1.0806,0.1271,-0.2521,-0.2271,1.3925,0.3706,0.2326,-0.0319,0.3517,0.0,0.1212,0.9814,0.0,-0.5858,-1.077,0.0083,232564000.0,-0.1772,194277000.0,38287000.0,0.0,41568000.0,41568000.0,-3281000.0,4045000.0,-7723000.0,-45646000.0,-181000.0,0.0,37923000.0,0.0,37923000.0,0.175,0.177,145370000.0,0.037,0.1646,-0.105,-0.0158,0.163,0.3045,-24308000.0,-3678000.0,37742000.0,1203804000.0,0.2009,678333000.0,525471000.0,0.0,388457000.0,388457000.0,137014000.0,16079000.0,155411000.0,-15023000.0,20730000.0,0.0,170434000.0,0.0,170434000.0,1.17,1.145,145370000.0,,0.14,0.4365,0.159,0.1425,0.142,0.2138,191011000.0,171490000.0,191164000.0,6.126,36.87,0.487,4.3977,3.0472,0.7179,0.1115,-0.9093,1.8937,0.211,0.065,0.1787,0.0,5359732000.0,5556050000.0,1767277000.0,314948000.0,0.0,-0.0141,0.006,-0.0043,0.049,0.205,0.033,0.142,0.233,1.7369,106.8008,615.9805,0.0,0.6812,3.8222,0.0,0.12,10.0,0.3227,0.0,5233521750.0,830361500.0,5177077500.0,1.771,8.281,10.6655,-0.1304,0.0046,-0.0321,-1.9774,AFSI,9.81405,10.449076352941178,1426668448.5
2011-09-30,0.2605,-0.0218,-0.0542,0.0149,0.0,6.7722,0.3915,0.1936,0.238,0.3784,0.0,0.2759,1.2535,0.0,0.3415,0.0835,0.0078,373401000.0,0.3849,185352000.0,188049000.0,0.0,137315000.0,137315000.0,50734000.0,3946000.0,51463000.0,14297000.0,3016000.0,0.0,37166000.0,0.0,37166000.0,0.273,0.264,145031694.0,0.037,0.5036,0.171,0.1484,0.1,0.0195,63796000.0,55409000.0,40182000.0,1253899000.0,0.3588,623774000.0,630125000.0,0.0,447244000.0,447244000.0,182881000.0,14891000.0,205891000.0,39734000.0,20093000.0,0.0,166157000.0,0.0,166157000.0,1.168,1.133,145031694.0,,0.136,0.5025,0.213,0.1761,0.133,0.1773,266730000.0,220782000.0,186250000.0,5.777,35.348,0.05,4.7323,2.3668,0.8191,0.1266,14.0418,1.5452,0.136,0.054,0.3677,0.0,5126619000.0,5469691000.0,1631000000.0,275467000.0,0.0,-0.8732,0.0036,-0.1343,-5.9794,0.211,0.035,0.176,0.262,1.5301,91.0355,550.3022,0.0,0.7688,4.5519,0.0,0.116,8.0,0.3567,0.0,4950678250.0,786849250.0,4789561250.0,1.533,8.646,14.8265,-0.1254,0.0039,-0.0254,-0.6937,AFSI,9.198347,9.32920111111111,1334051847.409818
2011-06-30,0.2164,0.4461,0.6274,0.614,0.5877,8.1029,0.3506,0.2861,0.1113,0.3938,0.0,0.1379,9.3972,0.0,0.2163,0.2167,0.0049,322021000.0,0.3065,170008000.0,152013000.0,0.0,108144000.0,108144000.0,43869000.0,4334000.0,57451000.0,7289000.0,9756000.0,0.0,50162000.0,0.0,50162000.0,0.347,0.335,144332493.0,0.033,0.4721,0.272,0.1919,0.156,0.433,87478000.0,61785000.0,59918000.0,1150116000.0,0.3767,558854000.0,591262000.0,0.0,412291000.0,412291000.0,178971000.0,14355000.0,207659000.0,39372000.0,11150000.0,0.0,168287000.0,0.0,168287000.0,1.164,1.134,144332493.0,,0.128,0.5141,0.23,0.193,0.146,0.162,264262000.0,222014000.0,191291000.0,5.718,34.001,0.966,4.2912,1.7907,0.7504,0.1206,14.2559,2.222,0.095,0.0444,0.3358,0.0,4907500000.0,5268411000.0,1617387000.0,281229500.0,0.0,0.2509,0.0042,0.0868,1.0883,0.224,0.038,0.193,0.261,1.1103,102.11,597.7326,0.0,0.7111,4.0896,0.0,0.11,8.0,0.3585,0.0,4573743250.0,751507000.0,4408393500.0,1.291,7.969,15.466,-0.0026,0.0038,-0.0004,-0.0115,AFSI,9.413223,8.896235138888889,1358633942.754939
